id,msa_GEOID
AL_Birmingham_A1_A_1,13820
AL_Birmingham_A2_A_2,13820
AL_Birmingham_A3_A_3,13820
AL_Birmingham_B1_B_4,13820
AL_Birmingham_B10_B_5,13820
AL_Birmingham_B11_B_6,13820
AL_Birmingham_B12_B_7,13820
AL_Birmingham_B13_B_8,13820
AL_Birmingham_B14_B_9,13820
AL_Birmingham_B15_B_10,13820
AL_Birmingham_B16_B_11,13820
AL_Birmingham_B2_B_12,13820
AL_Birmingham_B3_B_13,13820
AL_Birmingham_B4_B_14,13820
AL_Birmingham_B5_B_15,13820
AL_Birmingham_B6_B_16,13820
AL_Birmingham_B7_B_17,13820
AL_Birmingham_B8_B_18,13820
AL_Birmingham_B9_B_19,13820
AL_Birmingham_C1_C_20,13820
AL_Birmingham_C1_C_21,13820
AL_Birmingham_C1_C_22,13820
AL_Birmingham_C10_C_23,13820
AL_Birmingham_C11_C_24,13820
AL_Birmingham_C12_C_25,13820
AL_Birmingham_C13_C_26,13820
AL_Birmingham_C14_C_27,13820
AL_Birmingham_C15_C_28,13820
AL_Birmingham_C16_C_29,13820
AL_Birmingham_C16_C_30,13820
AL_Birmingham_C17_C_31,13820
AL_Birmingham_C18_C_32,13820
AL_Birmingham_C19_C_33,13820
AL_Birmingham_C2_C_34,13820
AL_Birmingham_C20_C_35,13820
AL_Birmingham_C3_C_36,13820
AL_Birmingham_C4_C_37,13820
AL_Birmingham_C5_C_38,13820
AL_Birmingham_C6_C_39,13820
AL_Birmingham_C7_C_40,13820
AL_Birmingham_C8_C_41,13820
AL_Birmingham_C9_C_42,13820
AL_Birmingham_D1_D_43,13820
AL_Birmingham_D10_D_44,13820
AL_Birmingham_D11_D_45,13820
AL_Birmingham_D12_D_46,13820
AL_Birmingham_D13_D_47,13820
AL_Birmingham_D14_D_48,13820
AL_Birmingham_D15_D_49,13820
AL_Birmingham_D16_D_50,13820
AL_Birmingham_D16_D_51,13820
AL_Birmingham_D16_D_52,13820
AL_Birmingham_D16_D_53,13820
AL_Birmingham_D17_D_54,13820
AL_Birmingham_D18_D_55,13820
AL_Birmingham_D19_D_56,13820
AL_Birmingham_D19_D_57,13820
AL_Birmingham_D2_D_58,13820
AL_Birmingham_D20_D_59,13820
AL_Birmingham_D20_D_60,13820
AL_Birmingham_D21_D_61,13820
AL_Birmingham_D3_D_62,13820
AL_Birmingham_D3_D_63,13820
AL_Birmingham_D4_D_64,13820
AL_Birmingham_D5_D_65,13820
AL_Birmingham_D5_D_66,13820
AL_Birmingham_D6_D_67,13820
AL_Birmingham_D7_D_68,13820
AL_Birmingham_D8_D_69,13820
AL_Birmingham_D9_D_70,13820
AL_Mobile_A1_A_71,33660
AL_Mobile_A2_A_72,33660
AL_Mobile_A3_A_73,33660
AL_Mobile_A4_A_74,33660
