msa_GEOID,msa_NAME,msa_medhhincE,msa_medhhincM,msa_total_popE,msa_total_popM,msa_White aloneE,msa_White aloneM,msa_Black or African American aloneE,msa_Black or African American aloneM,msa_American Indian and Alaska Native aloneE,msa_American Indian and Alaska Native aloneM,msa_Asian aloneE,msa_Asian aloneM,msa_Native Hawaiian and Other Pacific Islander aloneE,msa_Native Hawaiian and Other Pacific Islander aloneM,msa_Some other race aloneE,msa_Some other race aloneM,msa_Two or more racesE,msa_Two or more racesM
13720,"Big Stone Gap, VA Micro Area",38175,2960.851063829787,42456,NA,39013,275.2340425531915,2234,288.3404255319149,43,44.08510638297872,340,151.3191489361702,19,35.744680851063826,61,45.27659574468085,746,291.9148936170213
13740,"Billings, MT Metro Area",61278,1476.255319148936,179071,NA,162749,701.7872340425531,1234,469.4468085106383,7198,689.8723404255319,1172,185.87234042553192,136,134.63829787234042,1140,368.17021276595744,5442,764.9361702127659
13780,"Binghamton, NY Metro Area",54295,1193.8723404255318,241874,NA,211978,672,11245,674.3829787234042,455,210.89361702127658,8763,436.0851063829787,80,47.659574468085104,2314,667.2340425531914,7039,795.9148936170212
13820,"Birmingham-Hoover, AL Metro Area",57447,838.8085106382978,1085330,NA,698709,2195.9148936170213,327619,1304.6808510638298,2967,786.3829787234042,16011,778.0425531914893,288,84.59574468085106,21356,2126.808510638298,18380,1492.9361702127658
13900,"Bismarck, ND Metro Area",71398,2102.978723404255,127503,125.1063829787234,115747,456.3404255319149,2450,247.82978723404256,4986,519.4893617021277,967,246.63829787234042,99,125.1063829787234,742,324.0851063829787,2512,521.8723404255319
13940,"Blackfoot, ID Micro Area",55472,2881.0212765957444,45839,NA,37701,851.9148936170212,143,100.08510638297872,2936,413.4468085106383,263,132.25531914893617,24,32.170212765957444,3197,657.7021276595744,1575,538.5531914893617
13980,"Blacksburg-Christiansburg, VA Metro Area",55065,1620.4255319148936,166785,NA,146641,670.8085106382979,8038,430.12765957446805,429,115.57446808510637,7046,275.2340425531915,123,119.14893617021276,1370,612.4255319148936,3138,536.1702127659574
14010,"Bloomington, IL Metro Area",67675,2039.8297872340424,172578,NA,143728,518.2978723404256,14423,461.1063829787234,355,120.34042553191489,8797,376.51063829787233,33,41.702127659574465,1170,440.8510638297872,4072,626.7234042553191
14020,"Bloomington, IN Metro Area",49798,1703.8297872340424,167296,NA,146277,324.0851063829787,4567,427.74468085106383,410,226.38297872340425,9887,408.6808510638298,23,27.404255319148934,744,227.57446808510636,5388,710.127659574468
14100,"Bloomsburg-Berwick, PA Metro Area",51745,1908.7659574468084,83974,NA,79660,241.87234042553192,1505,137.02127659574467,89,61.95744680851064,1367,71.48936170212765,20,22.638297872340424,474,249.02127659574467,859,208.51063829787233
14140,"Bluefield, WV-VA Micro Area",41715,1844.4255319148936,107910,NA,100003,245.44680851063828,5417,374.12765957446805,206,108.42553191489361,627,138.2127659574468,32,52.42553191489361,161,144.17021276595744,1464,324.0851063829787
14180,"Blytheville, AR Micro Area",39962,3582.808510638298,42126,NA,25411,319.3191489361702,14212,613.6170212765957,31,25.02127659574468,238,27.404255319148934,33,46.46808510638298,850,325.27659574468083,1351,623.1489361702128
