"Area","Records","Observed.richness","SE","R2"
"AL_Birmingham_A1_A_1",2,2,NA,NA
"AL_Birmingham_B1_B_4",2,1,NA,NA
"AL_Birmingham_B14_B_9",14,3,0.0254733330792608,0.998162626687965
"AL_Birmingham_D2_D_58",2,2,NA,NA
"AL_Mobile_C2_C_87",2,2,NA,NA
"AL_Mobile_C5_C_90",2,2,NA,NA
"AL_Montgomery_A1_A_118",4,1,NA,NA
"AL_Montgomery_D7_D_140",13,6,0.0188277173113953,0.999844645318619
"CA_Los Angeles_A12_A_236",7,3,0.00189532238354783,0.999991776469583
"CA_Los Angeles_A13_A_237",2,2,NA,NA
"CA_Los Angeles_A21_A_248",2,1,NA,NA
"CA_Los Angeles_A27_A_254",2,2,NA,NA
"CA_Los Angeles_A29_A_256",3,1,NA,NA
"CA_Los Angeles_A34_A_262",4,1,NA,NA
"CA_Los Angeles_A41_A_271",6,2,0.0247884982065931,0.99431176673024
"CA_Los Angeles_A52_A_281",2,2,NA,NA
"CA_Los Angeles_A59_A_287",5,3,0.0192610453171459,0.999239778961662
"CA_Los Angeles_A60_A_289",2,1,NA,NA
"CA_Los Angeles_A9_A_292",4,3,0.00684715681898454,0.999916651455104
"CA_Los Angeles_B45_B_356",2,2,NA,NA
"CA_Los Angeles_B46_B_357",3,1,NA,NA
"CA_Los Angeles_B76_B_389",3,2,NA,NA
"CA_Los Angeles_B9_B_404",2,2,NA,NA
"CA_Los Angeles_C100_C_417",7,1,NA,NA
"CA_Los Angeles_C140_C_463",2,1,NA,NA
"CA_Los Angeles_C167_C_496",2,1,NA,NA
"CA_Los Angeles_C20_C_502",7,2,0.0238524135773284,0.994401560418251
"CA_Los Angeles_C24_C_506",2,2,NA,NA
"CA_Los Angeles_C25_C_507",5,4,0.00560201505032432,0.999972276879307
"CA_Los Angeles_C39_C_522",2,2,NA,NA
"CA_Los Angeles_C58_C_548",2,2,NA,NA
"CA_Los Angeles_C71_C_563",2,1,NA,NA
"CA_Los Angeles_C91_C_586",3,1,NA,NA
"CA_Los Angeles_C95_C_590",2,1,NA,NA
"CA_Los Angeles_C96_C_591",2,1,NA,NA
"CA_Los Angeles_C97_C_592",2,2,NA,NA
"CA_Los Angeles_D16_D_602",2,2,NA,NA
"CA_Los Angeles_D32_D_620",20,3,0.0723652803674533,0.980555998279102
"CA_Los Angeles_D34_D_622",3,3,NA,NA
"CA_Los Angeles_D38_D_626",4,2,0.0193729656210985,0.99725486228512
"CA_Los Angeles_D52_D_642",3,2,NA,NA
"CA_Los Angeles_D66_D_664",2,1,NA,NA
"CA_Los Angeles_D69_D_669",2,2,NA,NA
"CA_Los Angeles_D70_D_671",12,2,0.0158432619012741,0.997200149790783
"CA_Oakland_A_A_675",16,4,0.0281242438722568,0.998867191919557
"CA_Oakland_A1_A_676",2,1,NA,NA
"CA_Oakland_A2_A_679",2,1,NA,NA
"CA_Oakland_A3_A_680",2,1,NA,NA
"CA_Oakland_A4_A_681",5,3,0.0192610453171459,0.999239778961662
"CA_Oakland_A7_A_684",2,2,NA,NA
"CA_Oakland_B13_B_691",8,6,0.0151622924263794,0.999915022268971
"CA_Oakland_B14_B_692",3,2,NA,NA
"CA_Oakland_B15_B_693",3,2,NA,NA
"CA_Oakland_B17_B_695",10,3,0.0164960263587983,0.999249464537333
"CA_Oakland_B22_B_701",2,1,NA,NA
"CA_Oakland_B23_B_702",8,2,0.0148191129522163,0.997956425053847
"CA_Oakland_B31_B_711",8,2,NA,NA
"CA_Oakland_B38_B_718",4,3,0.00684715681898454,0.999916651455104
"CA_Oakland_B4_B_720",6,2,NA,NA
"CA_Oakland_B5_B_728",7,3,0.0350527282971499,0.997032098872899
"CA_Oakland_B7_B_730",119,6,0.0495677488881097,0.996730808734909
"CA_Oakland_B8_B_731",2,2,NA,NA
"CA_Oakland_C1_C_733",2,1,NA,NA
"CA_Oakland_C10_C_736",4,2,0.0193729656210985,0.99725486228512
"CA_Oakland_C13_C_742",4,2,NA,NA
"CA_Oakland_C15_C_746",2,2,NA,NA
"CA_Oakland_C16_C_747",4,3,0.00684715681898454,0.999916651455104
"CA_Oakland_C23_C_756",4,2,0.0193729656210985,0.99725486228512
"CA_Oakland_C24_C_757",2,1,NA,NA
"CA_Oakland_C25_C_759",6,3,0.0149663495039215,0.999529027797839
"CA_Oakland_C29_C_764",14,4,0.0198776760629356,0.999471457202983
"CA_Oakland_C3_C_765",5,2,0.0329556642851461,0.992457806885588
"CA_Oakland_C32_C_768",6,2,0.0228442367866804,0.995888074756456
"CA_Oakland_C37_C_775",2,1,NA,NA
"CA_Oakland_C4_C_778",12,2,0.0279403623292571,0.990798089466289
"CA_Oakland_C40_C_779",3,1,NA,NA
"CA_Oakland_C5_C_781",17,3,0.0143687099355279,0.999305828881889
"CA_Oakland_C6_C_782",3,2,NA,NA
"CA_Oakland_C6_C_783",4,1,NA,NA
"CA_Oakland_C7_C_785",10,3,0.0207425921724084,0.998861978441026
"CA_Oakland_C9_C_789",8,2,NA,NA
"CA_Oakland_D10_D_793",2,1,NA,NA
"CA_Oakland_D16_D_799",2,1,NA,NA
"CA_Oakland_D18_D_801",2,1,NA,NA
