"Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio"
"AL_Birmingham_A1_A_1",673,91,110.137502943433,0.0341753343239191,82.6239905282197,7.3956043956044
"AL_Birmingham_A2_A_2",93,47,92.2100167060847,0.247311827956992,50.9706013282813,1.97872340425532
"AL_Birmingham_A3_A_3",98,43,72.8893371361812,0.183673469387756,58.9935396444365,2.27906976744186
"AL_Birmingham_B1_B_4",1448,92,104.582585885173,0.0172651933701644,87.9687561952346,15.7391304347826
"AL_Birmingham_B13_B_8",15,11,33.8683054489597,0.466666666666667,32.4787433388932,1.36363636363636
"AL_Birmingham_B14_B_9",834,94,107.410687847098,0.025179856115102,87.5145685071973,8.87234042553191
"AL_Birmingham_B2_B_12",789,122,148.034503853884,0.0342205323193951,82.4132190968256,6.4672131147541
"AL_Birmingham_B3_B_13",2,2,NA,NA,NA,1
"AL_Birmingham_B4_B_14",43,33,129.392207460849,0.558139534883722,25.5038542487073,1.3030303030303
"AL_Birmingham_B5_B_15",164,51,74.7373925589469,0.115853658536587,68.2389340245919,3.2156862745098
"AL_Birmingham_B7_B_17",12,12,NA,NA,NA,1
"AL_Birmingham_B9_B_19",79,43,85.224600784941,0.24050632911392,50.4549151347835,1.83720930232558
"AL_Birmingham_C1_C_22",2,2,NA,NA,NA,1
"AL_Birmingham_C10_C_23",635,124,157.124649562852,0.0551181102362222,78.9182348822986,5.12096774193548
"AL_Birmingham_C11_C_24",438,77,103.186066998902,0.0616438356164366,74.6224778591658,5.68831168831169
"AL_Birmingham_C12_C_25",596,101,118.01670863706,0.0151006711409423,85.5811021730897,5.9009900990099
"AL_Birmingham_C13_C_26",134,65,123.142102374971,0.223880597014926,52.7845462651542,2.06153846153846
"AL_Birmingham_C14_C_27",3,3,NA,NA,NA,1
"AL_Birmingham_C15_C_28",12,12,NA,NA,NA,1
"AL_Birmingham_C16_C_30",2,2,NA,NA,NA,1
"AL_Birmingham_C17_C_31",8,8,NA,NA,NA,1
"AL_Birmingham_C18_C_32",21,16,57.1420340645875,0.523809523809524,28.0004033141614,1.3125
"AL_Birmingham_C2_C_34",6,5,22.4127530476193,0.666666666666667,22.308727488215,1.2
"AL_Birmingham_C20_C_35",389,71,86.0892994393897,0.0488431876606654,82.4725029270181,5.47887323943662
"AL_Birmingham_C3_C_36",539,93,116.006319787583,0.0630797773654876,80.1680461635972,5.79569892473118
"AL_Birmingham_C6_C_39",85,44,84.523192427148,0.223529411764702,52.0567180870793,1.93181818181818
"AL_Birmingham_C7_C_40",5,5,NA,NA,NA,1
"AL_Birmingham_C8_C_41",78,53,171.972703085566,0.512820512820511,30.8188445311751,1.47169811320755
"AL_Birmingham_C9_C_42",29,21,67.8855267957979,0.482758620689655,30.9344288704848,1.38095238095238
"AL_Birmingham_D1_D_43",173,61,96.0627551759247,0.156069364161851,63.5001566302024,2.83606557377049
"AL_Birmingham_D10_D_44",197,53,71.2552942909412,0.0964467005076131,74.3804380115205,3.71698113207547
"AL_Birmingham_D14_D_48",703,117,138.696397071629,0.0455192034139316,84.3569137124566,6.00854700854701
"AL_Birmingham_D17_D_54",12,10,50.2113719008126,0.666666666666668,19.9158071596888,1.2
"AL_Birmingham_D2_D_58",187,60,91.6956307429309,0.101604278074866,65.4338702006535,3.11666666666667
"AL_Birmingham_D3_D_62",3,2,NA,NA,NA,1.5
"AL_Birmingham_D3_D_63",2,2,NA,NA,NA,1
"AL_Birmingham_D4_D_64",372,77,102.079859398412,0.0725806451612954,75.4311383790929,4.83116883116883
"AL_Birmingham_D5_D_65",176,64,108.985170505298,0.1875,58.7235856981924,2.75
"AL_Birmingham_D5_D_66",13,12,137.851528497232,0.846153846153845,8.70501773235034,1.08333333333333
"AL_Birmingham_D6_D_67",45,23,52.3063223631643,0.333333333333332,43.9717398602608,1.95652173913043
"AL_Birmingham_D7_D_68",97,28,38.0565792986904,0.0824742268041234,73.574663083194,3.46428571428571
"AL_Birmingham_D8_D_69",359,102,139.391200377272,0.072423398328695,73.1753509001502,3.51960784313725
"AL_Mobile_B4_B_80",13,13,NA,NA,NA,1
"AL_Mobile_C1_C_86",84,45,88.8219482568721,0.214285714285715,50.6631535145576,1.86666666666667
"AL_Mobile_C2_C_87",35,28,131.244900678259,0.62857142857143,21.3341622076737,1.25
"AL_Mobile_C3_C_88",139,56,102.287955035177,0.223021582733814,54.7474040132502,2.48214285714286
"AL_Mobile_C4_C_89",13,13,NA,NA,NA,1
"AL_Mobile_C6_C_91",28,20,68.5663583296923,0.535714285714285,29.1688234393792,1.4
"AL_Mobile_C7_C_92",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AL_Mobile_C7_C_93",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"AL_Mobile_D1_D_95",5,5,NA,NA,NA,1
"AL_Mobile_D2_D_96",2,2,NA,NA,NA,1
"AL_Mobile_D2_D_97",3,3,NA,NA,NA,1
"AL_Mobile_D3_D_100",4,4,NA,NA,NA,1
"AL_Mobile_D4_D_101",14,13,162.347513498635,0.857142857142858,8.00751407880929,1.07692307692308
"AL_Mobile_D5_D_102",236,85,135.186915210084,0.144067796610173,62.8759076778308,2.77647058823529
"AL_Mobile_D6_D_104",7,7,NA,NA,NA,1
"AL_Mobile_D6_D_105",33,29,218.265224475751,0.757575757575758,13.2865874853197,1.13793103448276
"AL_Mobile_D6_D_109",150,54,83.6225169206283,0.153333333333336,64.5759084855757,2.77777777777778
"AL_Montgomery_A1_A_118",215,57,81.4604472873699,0.106976744186049,69.9726086684987,3.7719298245614
"AL_Montgomery_A2_A_119",172,47,63.5785352439503,0.0988372093023244,73.9243202437134,3.65957446808511
"AL_Montgomery_B2_B_123",12,11,115.356179270274,0.833333333333334,9.53568336744885,1.09090909090909
"AL_Montgomery_B3_B_124",23,18,71.3278364215805,0.565217391304348,25.2355895019886,1.27777777777778
"AL_Montgomery_B3_B_125",21,19,180.659283353687,0.80952380952381,10.5170349662036,1.10526315789474
"AL_Montgomery_C1_C_126",299,69,98.3727729434313,0.0836120401337723,70.1413591743297,4.33333333333333
"AL_Montgomery_C2_C_127",45,31,93.7465986294714,0.466666666666669,33.0678664113734,1.45161290322581
"AL_Montgomery_C3_C_128",28,15,40.1229861198601,0.357142857142858,37.3850539319038,1.86666666666667
"AL_Montgomery_C6_C_132",16,9,24.6744736330745,0.375,36.4749422169481,1.77777777777778
"AL_Montgomery_D1_D_133",40,19,36.7119784455646,0.274999999999999,51.7542251997468,2.10526315789474
"AL_Montgomery_D2_D_134",23,17,55.2828195348065,0.478260869565219,30.7509641205921,1.35294117647059
"AL_Montgomery_D4_D_136",1221,170,190.572586644461,0.0204750204750326,89.2048552172712,7.18235294117647
"AL_Montgomery_D5_D_137",442,120,165.439203713662,0.0859728506787292,72.534198247045,3.68333333333333
"AL_Montgomery_D6_D_138",86,39,78.1921072116339,0.244186046511629,49.8771569033727,2.20512820512821
"AL_Montgomery_D7_D_140",762,129,151.225910438071,0.0354330708661337,85.3028423676291,5.90697674418605
"AR_Little Rock_A1_A_141",639,71,87.4792719831778,0.0344287949921807,81.1620837604287,9
"AR_Little Rock_A2_A_142",1904,160,175.00108269975,0.00997899159662552,91.4280057766913,11.9
"AR_Little Rock_A3_A_143",8,8,NA,NA,NA,1
"AR_Little Rock_A4_A_144",22,17,64.0346557283366,0.545454545454547,26.5481243033796,1.29411764705882
"AR_Little Rock_A5_A_145",457,117,173.739739611449,0.0809628008752696,67.342106222594,3.90598290598291
"AR_Little Rock_B1_B_146",26,19,60.1039104942862,0.46153846153846,31.6119198297526,1.36842105263158
"AR_Little Rock_B10_B_147",513,154,221.572012672569,0.109161793372323,69.5033628762382,3.33116883116883
"AR_Little Rock_B11_B_148",23,16,46.136342298237,0.434782608695652,34.6798189951252,1.4375
"AR_Little Rock_B2_B_150",370,96,147.675916444958,0.132432432432438,65.0072146569556,3.85416666666667
"AR_Little Rock_B3_B_151",1383,129,143.435743993558,0.0202458423716507,89.9357415441676,10.7209302325581
"AR_Little Rock_B4_B_152",27,19,54.3047336147269,0.407407407407408,34.9877418325967,1.42105263157895
"AR_Little Rock_B5_B_153",14,14,NA,NA,NA,1
"AR_Little Rock_B6_B_154",65,26,43.968950023226,0.169230769230769,59.1326378871132,2.5
"AR_Little Rock_B7_B_155",111,57,115.205323439439,0.288288288288285,49.4768803196527,1.94736842105263
"AR_Little Rock_B8_B_156",3,3,NA,NA,NA,1
"AR_Little Rock_C1_C_158",377,90,124.841252273943,0.0689655172413808,72.091554963347,4.18888888888889
"AR_Little Rock_C2_C_160",425,139,192.596860515586,0.0729411764705787,72.1714775764743,3.05755395683453
"AR_Little Rock_C3_C_161",130,56,105.14073186069,0.230769230769226,53.2619461639274,2.32142857142857
"AR_Little Rock_C4_C_162",24,16,45.2820007893274,0.458333333333332,35.3341277352989,1.5
"AR_Little Rock_C6_C_164",158,59,94.5195604799583,0.151898734177216,62.4209419726515,2.67796610169492
"AR_Little Rock_D1_D_168",18,15,78.0056298651184,0.666666666666668,19.2293812971408,1.2
"AR_Little Rock_D2_D_169",70,36,73.2398084878772,0.271428571428572,49.1535965798692,1.94444444444444
"AR_Little Rock_D3_D_170",102,54,108.015684289502,0.264705882352942,49.9927398092209,1.88888888888889
"AR_Little Rock_D4_D_171",76,41,80.3744300800773,0.236842105263158,51.0112481782472,1.85365853658537
"AR_Little Rock_D7_D_175",7,5,17.8356145037682,0.571428571428571,28.0337972035874,1.4
"AR_Little Rock_D8_D_176",52,39,153.927926736725,0.57692307692308,25.3365330299711,1.33333333333333
"AZ_Phoenix_A2_A_178",305,45,51.3124545235784,0.0426229508196698,87.6980070780325,6.77777777777778
"AZ_Phoenix_A3_A_179",150,27,32.9626497256598,0.0666666666666664,81.9108907345571,5.55555555555556
"AZ_Phoenix_A5_A_181",33,33,NA,NA,NA,1
"AZ_Phoenix_B2_B_183",51,22,38.7083017319444,0.215686274509803,56.8353531817292,2.31818181818182
"AZ_Phoenix_B3_B_184",88,27,38.196548503266,0.0909090909090899,70.6870150785781,3.25925925925926
"AZ_Phoenix_B4_B_185",106,37,56.557022148683,0.160377358490564,65.420700373387,2.86486486486486
"AZ_Phoenix_B5_B_186",41,28,83.2929382229583,0.463414634146343,33.6162952074637,1.46428571428571
"AZ_Phoenix_B6_B_187",97,35,54.466359173805,0.164948453608247,64.2598487046163,2.77142857142857
"AZ_Phoenix_B7_B_188",151,39,55.2950211580415,0.119205298013249,70.5307624144534,3.87179487179487
"AZ_Phoenix_B8_B_189",48,24,43.8730131192985,0.229166666666668,54.7033319428956,2
"AZ_Phoenix_C1_C_190",256,55,76.5167674691143,0.08203125,71.8796700634283,4.65454545454545
"AZ_Phoenix_C2_C_191",361,67,94.1490636370069,0.0831024930747901,71.163745460411,5.38805970149254
"AZ_Phoenix_C3_C_192",189,35,45.6770949875812,0.0740740740740762,76.6248379182517,5.4
"AZ_Phoenix_C4_C_193",339,55,67.3130278421042,0.023598820059,81.7078086711731,6.16363636363636
"AZ_Phoenix_D1_D_194",3,3,NA,NA,NA,1
"AZ_Phoenix_D2_D_195",232,51,74.1852950965644,0.099137931034484,68.7467778265424,4.54901960784314
"AZ_Phoenix_D3_D_196",6,5,22.4127530476193,0.666666666666667,22.308727488215,1.2
"AZ_Phoenix_D4_D_197",74,22,30.9718352178013,0.121621621621621,71.0322776977559,3.36363636363636
"AZ_Phoenix_D5_D_198",156,27,39.4155062509372,0.0769230769230766,68.5009595667898,5.77777777777778
"AZ_Phoenix_D6_D_199",36,16,27.6154995402287,0.222222222222221,57.9384775448008,2.25
"AZ_Phoenix_D7_D_200",3,3,NA,NA,NA,1
"AZ_Phoenix_D8_D_201",3,3,NA,NA,NA,1
"CA_Fresno_A1_A_202",102,38,61.0021951703953,0.137254901960787,62.2928402721507,2.68421052631579
"CA_Fresno_A2_A_203",14,14,NA,NA,NA,1
"CA_Fresno_B1_B_204",27,18,45.3656140934282,0.333333333333332,39.6776288819322,1.5
"CA_Fresno_B2_B_205",311,52,64.6798046220551,0.0482315112540164,80.3960375326622,5.98076923076923
"CA_Fresno_B4_B_210",742,67,80.570462763164,0.0242587601078128,83.1570251705588,11.0746268656716
"CA_Fresno_C2_C_213",123,47,76.1802538239542,0.1869918699187,61.6957776336803,2.61702127659574
