"Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio"
"AL_Birmingham_A1_A_1",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AL_Birmingham_A2_A_2",2,2,NA,NA,NA,1
"AL_Birmingham_B1_B_4",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"AL_Birmingham_B13_B_8",2,1,NA,NA,NA,2
"AL_Birmingham_B14_B_9",6,6,NA,NA,NA,1
"AL_Birmingham_B3_B_13",3,3,NA,NA,NA,1
"AL_Birmingham_C11_C_24",5,5,NA,NA,NA,1
"AL_Birmingham_C12_C_25",2,2,NA,NA,NA,1
"AL_Birmingham_C3_C_36",9,9,NA,NA,NA,1
"AL_Birmingham_D10_D_44",3,3,NA,NA,NA,1
"AL_Montgomery_A1_A_118",5,5,NA,NA,NA,1
"AR_Little Rock_A2_A_142",6,5,22.4127530476193,0.666666666666667,22.308727488215,1.2
"AR_Little Rock_C5_C_163",2,2,NA,NA,NA,1
"CA_Fresno_C4_C_216",2,2,NA,NA,NA,1
"CA_Los Angeles_A1_A_233",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"CA_Los Angeles_A10_A_234",3,3,NA,NA,NA,1
"CA_Los Angeles_A12_A_236",66,17,29.2511459431806,0.136363636363637,58.1173812233612,3.88235294117647
"CA_Los Angeles_A13_A_237",5,5,NA,NA,NA,1
"CA_Los Angeles_A18_A_244",2,1,NA,NA,NA,2
"CA_Los Angeles_A21_A_248",15,9,20.5719479520432,0.333333333333334,43.748895442379,1.66666666666667
"CA_Los Angeles_A29_A_256",4,4,NA,NA,NA,1
"CA_Los Angeles_A3_A_257",2,2,NA,NA,NA,1
"CA_Los Angeles_A30_A_258",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"CA_Los Angeles_A31_A_259",4,4,NA,NA,NA,1
"CA_Los Angeles_A32_A_260",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"CA_Los Angeles_A33_A_261",5,3,6.6586585515666,0.4,45.0541197865475,1.66666666666667
"CA_Los Angeles_A35_A_263",3,3,NA,NA,NA,1
"CA_Los Angeles_A37_A_265",7,5,12.7895845884099,0.428571428571429,39.094311198591,1.4
"CA_Los Angeles_A4_A_269",2,2,NA,NA,NA,1
"CA_Los Angeles_A40_A_270",2,2,NA,NA,NA,1
"CA_Los Angeles_A42_A_272",3,3,NA,NA,NA,1
"CA_Los Angeles_A43_A_273",2,1,NA,NA,NA,2
"CA_Los Angeles_A46_A_274",4,4,NA,NA,NA,1
"CA_Los Angeles_A51_A_280",10,10,NA,NA,NA,1
"CA_Los Angeles_A55_A_284",2,2,NA,NA,NA,1
"CA_Los Angeles_A58_A_286",2,2,NA,NA,NA,1
"CA_Los Angeles_A59_A_287",13,11,60.7022601515724,0.692307692307692,18.1212362975171,1.18181818181818
"CA_Los Angeles_A6_A_288",4,4,NA,NA,NA,1
"CA_Los Angeles_A60_A_289",10,6,12.2617998294581,0.3,48.9324575792325,1.66666666666667
"CA_Los Angeles_A7_A_290",4,4,NA,NA,NA,1
"CA_Los Angeles_A9_A_292",12,6,11.7013478670921,0.25,51.2761441515116,2
"CA_Los Angeles_B101_B_296",2,2,NA,NA,NA,1
"CA_Los Angeles_B107_B_302",2,2,NA,NA,NA,1
"CA_Los Angeles_B11_B_305",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B117_B_313",11,7,16.1837504949382,0.363636363636363,43.253261981451,1.57142857142857
"CA_Los Angeles_B118_B_314",2,2,NA,NA,NA,1
"CA_Los Angeles_B16_B_324",2,2,NA,NA,NA,1
"CA_Los Angeles_B20_B_329",2,2,NA,NA,NA,1
"CA_Los Angeles_B23_B_332",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B26_B_335",7,7,NA,NA,NA,1
"CA_Los Angeles_B29_B_338",3,3,NA,NA,NA,1
"CA_Los Angeles_B31_B_341",3,3,NA,NA,NA,1
"CA_Los Angeles_B32_B_342",2,1,NA,NA,NA,2
"CA_Los Angeles_B33_B_343",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"CA_Los Angeles_B34_B_344",5,5,NA,NA,NA,1
"CA_Los Angeles_B36_B_346",5,5,NA,NA,NA,1
"CA_Los Angeles_B37_B_347",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_B47_B_358",6,6,NA,NA,NA,1
"CA_Los Angeles_B52_B_364",3,3,NA,NA,NA,1
"CA_Los Angeles_B54_B_366",5,5,NA,NA,NA,1
"CA_Los Angeles_B58_B_369",3,3,NA,NA,NA,1
"CA_Los Angeles_B6_B_371",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B66_B_378",2,2,NA,NA,NA,1
"CA_Los Angeles_B69_B_381",2,2,NA,NA,NA,1
"CA_Los Angeles_B7_B_382",3,3,NA,NA,NA,1
"CA_Los Angeles_B72_B_385",9,6,15.7025351170338,0.444444444444445,38.2103905852204,1.5
"CA_Los Angeles_B73_B_386",3,3,NA,NA,NA,1
"CA_Los Angeles_B75_B_388",9,6,24.6666920997555,0.555555555555555,24.3242992442407,1.5
"CA_Los Angeles_B76_B_389",8,6,25.4341778736457,0.625,23.5903044706512,1.33333333333333
"CA_Los Angeles_B77_B_390",2,2,NA,NA,NA,1
"CA_Los Angeles_B83_B_397",9,9,NA,NA,NA,1
"CA_Los Angeles_B88_B_402",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"CA_Los Angeles_B93_B_408",5,3,4.8482145482525,0.2,61.8784496878614,1.66666666666667
"CA_Los Angeles_B94_B_409",2,2,NA,NA,NA,1
"CA_Los Angeles_C10_C_416",6,4,8.31648052908751,0.333333333333333,48.0972688628285,1.5
"CA_Los Angeles_C105_C_422",6,2,3.68257286475614,0.166666666666667,54.3098554584184,3
"CA_Los Angeles_C108_C_425",7,4,7.37550093176442,0.285714285714286,54.2336044291312,1.75
"CA_Los Angeles_C109_C_426",2,2,NA,NA,NA,1
"CA_Los Angeles_C110_C_429",13,8,46.7928780084812,0.538461538461538,17.0966188456072,1.625
"CA_Los Angeles_C112_C_431",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"CA_Los Angeles_C117_C_436",3,2,NA,NA,NA,1.5
"CA_Los Angeles_C120_C_440",3,2,NA,NA,NA,1.5
"CA_Los Angeles_C122_C_442",2,2,NA,NA,NA,1
"CA_Los Angeles_C123_C_443",2,2,NA,NA,NA,1
"CA_Los Angeles_C124_C_444",5,5,NA,NA,NA,1
"CA_Los Angeles_C125_C_445",3,2,NA,NA,NA,1.5
"CA_Los Angeles_C134_C_456",32,20,49.9135313337834,0.375,40.0692947694992,1.6
"CA_Los Angeles_C14_C_462",5,5,NA,NA,NA,1
"CA_Los Angeles_C140_C_463",2,2,NA,NA,NA,1
"CA_Los Angeles_C142_C_465",2,2,NA,NA,NA,1
"CA_Los Angeles_C148_C_473",2,1,NA,NA,NA,2
"CA_Los Angeles_C156_C_484",19,12,30.3572026312618,0.421052631578949,39.5293339302694,1.58333333333333
"CA_Los Angeles_C16_C_488",4,4,NA,NA,NA,1
"CA_Los Angeles_C160_C_489",13,9,32.5993455519202,0.538461538461538,27.607916194716,1.44444444444444
"CA_Los Angeles_C161_C_490",3,2,NA,NA,NA,1.5
