"Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio"
"AL_Birmingham_A1_A_1",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AL_Birmingham_A2_A_2",3,3,NA,NA,NA,1
"AL_Birmingham_B1_B_4",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AL_Birmingham_B13_B_8",2,1,NA,NA,NA,2
"AL_Birmingham_B14_B_9",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"AL_Birmingham_B3_B_13",3,3,NA,NA,NA,1
"AL_Birmingham_C11_C_24",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"AL_Birmingham_C12_C_25",2,2,NA,NA,NA,1
"AL_Birmingham_C3_C_36",7,7,NA,NA,NA,1
"AL_Birmingham_D10_D_44",3,2,NA,NA,NA,1.5
"AL_Montgomery_A1_A_118",5,5,NA,NA,NA,1
"AR_Little Rock_A2_A_142",7,5,12.7895845884099,0.428571428571429,39.094311198591,1.4
"AR_Little Rock_C5_C_163",2,1,NA,NA,NA,2
"CA_Fresno_C4_C_216",2,2,NA,NA,NA,1
"CA_Los Angeles_A1_A_233",5,3,6.6586585515666,0.4,45.0541197865475,1.66666666666667
"CA_Los Angeles_A10_A_234",4,4,NA,NA,NA,1
"CA_Los Angeles_A12_A_236",66,11,13.2155572651908,0.045454545454545,83.2352338934166,6
"CA_Los Angeles_A13_A_237",5,5,NA,NA,NA,1
"CA_Los Angeles_A18_A_244",2,1,NA,NA,NA,2
"CA_Los Angeles_A21_A_248",15,7,13.8008302831209,0.266666666666667,50.7215859944407,2.14285714285714
"CA_Los Angeles_A29_A_256",5,5,NA,NA,NA,1
"CA_Los Angeles_A3_A_257",2,2,NA,NA,NA,1
"CA_Los Angeles_A30_A_258",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"CA_Los Angeles_A31_A_259",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_A32_A_260",7,3,4.33447960389549,0.142857142857143,69.2124608754378,2.33333333333333
"CA_Los Angeles_A33_A_261",5,3,6.6586585515666,0.4,45.0541197865475,1.66666666666667
"CA_Los Angeles_A35_A_263",3,2,NA,NA,NA,1.5
"CA_Los Angeles_A37_A_265",7,5,12.7895845884099,0.428571428571429,39.094311198591,1.4
"CA_Los Angeles_A4_A_269",2,2,NA,NA,NA,1
"CA_Los Angeles_A40_A_270",2,2,NA,NA,NA,1
"CA_Los Angeles_A42_A_272",3,2,NA,NA,NA,1.5
"CA_Los Angeles_A43_A_273",2,1,NA,NA,NA,2
"CA_Los Angeles_A46_A_274",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_A51_A_280",4,4,NA,NA,NA,1
"CA_Los Angeles_A55_A_284",2,2,NA,NA,NA,1
"CA_Los Angeles_A58_A_286",2,2,NA,NA,NA,1
"CA_Los Angeles_A59_A_287",13,11,60.7022601515724,0.692307692307692,18.1212362975171,1.18181818181818
"CA_Los Angeles_A6_A_288",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_A60_A_289",10,6,12.2617998294581,0.3,48.9324575792325,1.66666666666667
"CA_Los Angeles_A7_A_290",4,4,NA,NA,NA,1
"CA_Los Angeles_A9_A_292",13,7,15.4187635521395,0.307692307692307,45.3992304657184,1.85714285714286
"CA_Los Angeles_B101_B_296",2,2,NA,NA,NA,1
"CA_Los Angeles_B107_B_302",2,2,NA,NA,NA,1
"CA_Los Angeles_B11_B_305",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B117_B_313",11,7,16.1837504949382,0.363636363636363,43.253261981451,1.57142857142857
"CA_Los Angeles_B118_B_314",2,2,NA,NA,NA,1
"CA_Los Angeles_B16_B_324",2,1,NA,NA,NA,2
"CA_Los Angeles_B20_B_329",2,2,NA,NA,NA,1
"CA_Los Angeles_B23_B_332",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B26_B_335",7,7,NA,NA,NA,1
"CA_Los Angeles_B29_B_338",3,3,NA,NA,NA,1
"CA_Los Angeles_B31_B_341",3,3,NA,NA,NA,1
"CA_Los Angeles_B32_B_342",2,1,NA,NA,NA,2
"CA_Los Angeles_B33_B_343",7,4,7.37550093176442,0.285714285714286,54.2336044291312,1.75
"CA_Los Angeles_B34_B_344",5,3,4.8482145482525,0.2,61.8784496878614,1.66666666666667
"CA_Los Angeles_B36_B_346",5,5,NA,NA,NA,1
"CA_Los Angeles_B37_B_347",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_B47_B_358",6,6,NA,NA,NA,1
"CA_Los Angeles_B52_B_364",3,3,NA,NA,NA,1
"CA_Los Angeles_B54_B_366",5,5,NA,NA,NA,1
"CA_Los Angeles_B58_B_369",3,3,NA,NA,NA,1
"CA_Los Angeles_B6_B_371",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B66_B_378",2,2,NA,NA,NA,1
"CA_Los Angeles_B69_B_381",2,2,NA,NA,NA,1
"CA_Los Angeles_B7_B_382",3,3,NA,NA,NA,1
"CA_Los Angeles_B72_B_385",10,6,15.0762622979662,0.4,39.797662586498,1.66666666666667
