"Area","Records","Observed.richness","SE","R2"
"AL_Birmingham_A1_A_1",10,9,0.00243733904829687,0.99999908956507
"AL_Birmingham_A2_A_2",9,7,0.0194579313285413,0.999897079239929
"AL_Birmingham_A3_A_3",5,5,NA,NA
"AL_Birmingham_B1_B_4",21,19,0.00433440040848936,0.999999367955654
"AL_Birmingham_B13_B_8",14,12,0.00711375496034056,0.999995659805495
"AL_Birmingham_B14_B_9",393,238,0.582628081160622,0.999924277906111
"AL_Birmingham_B16_B_11",4,4,NA,NA
"AL_Birmingham_B2_B_12",10,9,0.00243733904829687,0.99999908956507
"AL_Birmingham_B4_B_14",4,4,NA,NA
"AL_Birmingham_B5_B_15",4,3,0.00684715681898454,0.999916651455104
"AL_Birmingham_C10_C_23",43,26,0.0912072933158707,0.999846628137237
"AL_Birmingham_C11_C_24",16,15,0.00139980090019128,0.999999894183191
"AL_Birmingham_C12_C_25",78,48,0.228522979877098,0.999725376473106
"AL_Birmingham_C13_C_26",4,4,NA,NA
"AL_Birmingham_C3_C_36",109,101,0.0121920504387214,0.999999824942541
"AL_Birmingham_C6_C_39",19,11,0.027570059255714,0.999914333346236
"AL_Birmingham_C9_C_42",4,4,NA,NA
"AL_Birmingham_D10_D_44",7,7,NA,NA
"AL_Birmingham_D17_D_54",2,2,NA,NA
"AL_Birmingham_D2_D_58",3,3,NA,NA
"AL_Birmingham_D4_D_64",7,7,NA,NA
"AL_Birmingham_D5_D_65",5,3,0.0313924746586254,0.998133546467439
"AL_Birmingham_D7_D_68",3,3,NA,NA
"AL_Birmingham_D8_D_69",4,3,0.00684715681898454,0.999916651455104
"AL_Mobile_C2_C_87",14,13,0.0016343241935979,0.999999807180766
"AL_Mobile_C3_C_88",5,5,NA,NA
"AL_Mobile_C6_C_91",2,2,NA,NA
"AL_Montgomery_A1_A_118",13,13,NA,NA
"AL_Montgomery_C1_C_126",13,9,0.00549565857979639,0.999995109161805
"AL_Montgomery_D1_D_133",4,3,0.00684715681898454,0.999916651455104
"AL_Montgomery_D7_D_140",4,4,NA,NA
"AR_Little Rock_A1_A_141",6,6,NA,NA
"AR_Little Rock_A2_A_142",41,33,0.0134291413098392,0.999997982891907
"AR_Little Rock_A5_A_145",3,3,NA,NA
"AR_Little Rock_B10_B_147",3,3,NA,NA
"AR_Little Rock_B3_B_151",47,44,0.0384575284066855,0.99999072356525
"AR_Little Rock_B7_B_155",5,5,NA,NA
"AR_Little Rock_C1_C_158",4,4,NA,NA
"AR_Little Rock_C2_C_160",4,3,0.00684715681898454,0.999916651455104
"AR_Little Rock_C6_C_164",29,22,0.0448117362683813,0.999949374068801
"AR_Little Rock_D3_D_170",17,17,NA,NA
"AZ_Phoenix_B2_B_183",2,1,NA,NA
"AZ_Phoenix_B4_B_185",2,2,NA,NA
"AZ_Phoenix_B5_B_186",2,2,NA,NA
"AZ_Phoenix_B8_B_189",4,4,NA,NA
"AZ_Phoenix_C2_C_191",4,4,NA,NA
"CA_Fresno_A1_A_202",2,2,NA,NA
"CA_Fresno_B2_B_205",6,5,0.00453850627568286,0.999989006054452
"CA_Fresno_B5_B_211",2,2,NA,NA
"CA_Fresno_C2_C_213",4,4,NA,NA
"CA_Fresno_C3_C_214",4,4,NA,NA
"CA_Fresno_C4_C_215",2,2,NA,NA
"CA_Fresno_C4_C_216",26,25,0.000810306143759727,0.999999987335638
"CA_Fresno_D4_D_228",3,2,NA,NA
"CA_Fresno_D8_D_232",2,1,NA,NA
"CA_Los Angeles_A1_A_233",65,41,0.190259559680641,0.999721068105063
"CA_Los Angeles_A10_A_234",31,22,0.0697594575158426,0.999871391666311
"CA_Los Angeles_A11_A_235",59,40,0.0285301617065804,0.999993640881328
"CA_Los Angeles_A12_A_236",142,52,0.303838904100648,0.999528403299819
"CA_Los Angeles_A13_A_237",71,37,0.229332992822803,0.999483154401133
"CA_Los Angeles_A14_A_239",14,12,0.00711375496034056,0.999995659805495
"CA_Los Angeles_A15_A_240",25,22,0.0156137986905807,0.999993830493398
"CA_Los Angeles_A16_A_241",21,14,0.0103320932775721,0.999993020150432
"CA_Los Angeles_A17_A_243",4,4,NA,NA
"CA_Los Angeles_A18_A_244",22,16,0.0411949756470171,0.999914960750891
"CA_Los Angeles_A2_A_246",18,13,0.0198477346956898,0.99997000409857
"CA_Los Angeles_A21_A_248",78,37,0.229375046729259,0.999480070695004
"CA_Los Angeles_A23_A_250",2,2,NA,NA
"CA_Los Angeles_A25_A_252",6,6,NA,NA
"CA_Los Angeles_A26_A_253",10,7,0.00688784619822614,0.999986883722665
"CA_Los Angeles_A27_A_254",12,11,0.00195951155823258,0.99999961037677
"CA_Los Angeles_A28_A_255",5,5,NA,NA
"CA_Los Angeles_A29_A_256",75,50,0.05344871433841,0.999985696297988
"CA_Los Angeles_A3_A_257",37,29,0.00786765017189741,0.999999094260152
"CA_Los Angeles_A30_A_258",59,45,0.0978170349318629,0.999941119081532
"CA_Los Angeles_A31_A_259",29,25,0.0129053676463021,0.999996767514284
"CA_Los Angeles_A32_A_260",12,9,0.02177572786472,0.99992544865496
"CA_Los Angeles_A33_A_261",6,5,0.00453850627568286,0.999989006054452
"CA_Los Angeles_A34_A_262",14,12,0.00711375496034056,0.999995659805495
"CA_Los Angeles_A35_A_263",37,31,0.0466905350448741,0.999972032585269
"CA_Los Angeles_A37_A_265",36,27,0.0226034210649548,0.999991284401274
"CA_Los Angeles_A38_A_266",2,2,NA,NA
"CA_Los Angeles_A38_A_267",16,13,0.0382981008297661,0.999889529606553
"CA_Los Angeles_A39_A_268",8,8,NA,NA
"CA_Los Angeles_A4_A_269",62,39,0.165165912442214,0.999768173756299
"CA_Los Angeles_A40_A_270",14,11,0.0116767820138401,0.999985648903113
"CA_Los Angeles_A41_A_271",36,24,0.0041329474126886,0.999999626134675
"CA_Los Angeles_A42_A_272",17,14,0.0134951651463347,0.99998854538363
"CA_Los Angeles_A43_A_273",66,33,0.043631075942454,0.999976963956733
"CA_Los Angeles_A46_A_274",21,16,0.0235645520435003,0.999972575007883
"CA_Los Angeles_A47_A_275",17,14,0.0134951651463347,0.99998854538363
"CA_Los Angeles_A48_A_276",13,13,NA,NA
"CA_Los Angeles_A49_A_277",3,2,NA,NA
"CA_Los Angeles_A5_A_278",8,7,0.00319732044001254,0.999997354222772
"CA_Los Angeles_A50_A_279",2,2,NA,NA
"CA_Los Angeles_A51_A_280",6,5,0.00453850627568286,0.999989006054452
"CA_Los Angeles_A52_A_281",9,8,0.0027692694163337,0.99999849947154
"CA_Los Angeles_A53_A_282",8,8,NA,NA
"CA_Los Angeles_A54_A_283",19,15,0.0324924254345774,0.999940625591297
"CA_Los Angeles_A55_A_284",6,6,NA,NA
"CA_Los Angeles_A56_A_285",35,32,0.0167314974662951,0.999996680403504
"CA_Los Angeles_A58_A_286",5,5,NA,NA
"CA_Los Angeles_A59_A_287",181,67,0.444570767095112,0.999377808951065
"CA_Los Angeles_A6_A_288",65,48,0.0752580959048413,0.999969520526561
"CA_Los Angeles_A60_A_289",32,15,0.0338935516203539,0.999930074212889
"CA_Los Angeles_A7_A_290",51,43,0.0421175268463683,0.999988258544994
"CA_Los Angeles_A8_A_291",21,19,0.00433440040848936,0.999999367955654
"CA_Los Angeles_A9_A_292",110,64,0.0959235143294116,0.999971425227106
"CA_Los Angeles_B1_B_293",5,4,0.00560201505032432,0.999972276879307
"CA_Los Angeles_B10_B_294",20,16,0.00643814440009468,0.999997984053674
"CA_Los Angeles_B100_B_295",7,7,NA,NA
"CA_Los Angeles_B101_B_296",69,51,0.0681081621170507,0.999977919395432
"CA_Los Angeles_B103_B_298",4,4,NA,NA
"CA_Los Angeles_B105_B_300",6,5,0.00453850627568286,0.999989006054452
"CA_Los Angeles_B106_B_301",7,7,NA,NA
"CA_Los Angeles_B107_B_302",2,2,NA,NA
"CA_Los Angeles_B108_B_303",2,2,NA,NA
