"Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio"
"AL_Birmingham_A1_A_1",10,9,76.3681272346926,0.800000000000001,11.7850212200981,1.11111111111111
"AL_Birmingham_A2_A_2",9,6,24.6666920997555,0.555555555555555,24.3242992442407,1.5
"AL_Birmingham_A3_A_3",4,4,NA,NA,NA,1
"AL_Birmingham_B1_B_4",23,16,64.7257748772783,0.565217391304348,24.7196731600918,1.4375
"AL_Birmingham_B13_B_8",14,12,72.194349950947,0.714285714285714,16.6217993626281,1.16666666666667
"AL_Birmingham_B14_B_9",342,77,132.550930907712,0.0994152046783654,58.0908783308438,4.44155844155844
"AL_Birmingham_B16_B_11",4,4,NA,NA,NA,1
"AL_Birmingham_B2_B_12",10,9,76.3681272346926,0.800000000000001,11.7850212200981,1.11111111111111
"AL_Birmingham_B4_B_14",4,4,NA,NA,NA,1
"AL_Birmingham_B5_B_15",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AL_Birmingham_C10_C_23",15,10,28.0401804231568,0.466666666666667,35.6631086144565,1.5
"AL_Birmingham_C11_C_24",16,15,217.34088308962,0.875,6.90160074200802,1.06666666666667
"AL_Birmingham_C12_C_25",39,25,66.4355183840143,0.410256410256409,37.6304732891427,1.56
"AL_Birmingham_C13_C_26",2,2,NA,NA,NA,1
"AL_Birmingham_C14_C_27",2,2,NA,NA,NA,1
"AL_Birmingham_C3_C_36",65,44,133.175893872258,0.446153846153848,33.0390123322205,1.47727272727273
"AL_Birmingham_C6_C_39",19,10,20.7620888574553,0.315789473684211,48.1647105387913,1.9
"AL_Birmingham_C9_C_42",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"AL_Birmingham_D10_D_44",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"AL_Birmingham_D17_D_54",2,2,NA,NA,NA,1
"AL_Birmingham_D2_D_58",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AL_Birmingham_D4_D_64",7,7,NA,NA,NA,1
"AL_Birmingham_D5_D_65",5,3,4.8482145482525,0.2,61.8784496878614,1.66666666666667
"AL_Birmingham_D7_D_68",3,3,NA,NA,NA,1
"AL_Birmingham_D8_D_69",4,2,3.09850691532731,0.25,64.5472175681342,2
"AL_Mobile_C2_C_87",14,12,72.194349950947,0.714285714285714,16.6217993626281,1.16666666666667
"AL_Mobile_C3_C_88",5,5,NA,NA,NA,1
"AL_Mobile_C6_C_91",2,2,NA,NA,NA,1
"AL_Montgomery_A1_A_118",16,13,59.020517941564,0.625,22.0262384224944,1.23076923076923
"AL_Montgomery_C1_C_126",10,6,12.2617998294581,0.3,48.9324575792325,1.66666666666667
"AL_Montgomery_D1_D_133",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AL_Montgomery_D7_D_140",4,4,NA,NA,NA,1
"AR_Little Rock_A1_A_141",6,3,4.43634832805135,0.166666666666667,67.6231841632178,2
"AR_Little Rock_A2_A_142",27,12,24.0012840178112,0.25925925925926,49.9973251060022,2.25
"AR_Little Rock_A5_A_145",4,4,NA,NA,NA,1
"AR_Little Rock_B10_B_147",2,2,NA,NA,NA,1
"AR_Little Rock_B3_B_151",12,9,52.9810913841448,0.666666666666668,16.9871925339261,1.33333333333333
"AR_Little Rock_B7_B_155",4,4,NA,NA,NA,1
"AR_Little Rock_C1_C_158",3,3,NA,NA,NA,1
"AR_Little Rock_C2_C_160",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AR_Little Rock_C6_C_164",13,10,35.5506810123751,0.538461538461538,28.1288563685152,1.3
"AR_Little Rock_D3_D_170",9,9,NA,NA,NA,1
"AZ_Phoenix_A3_A_179",2,2,NA,NA,NA,1
"AZ_Phoenix_B2_B_183",2,1,NA,NA,NA,2
"AZ_Phoenix_B4_B_185",2,2,NA,NA,NA,1
"AZ_Phoenix_B5_B_186",2,2,NA,NA,NA,1
"AZ_Phoenix_B8_B_189",2,2,NA,NA,NA,1
"AZ_Phoenix_C2_C_191",5,5,NA,NA,NA,1
"CA_Fresno_A1_A_202",2,2,NA,NA,NA,1
"CA_Fresno_B2_B_205",6,5,22.4127530476193,0.666666666666667,22.308727488215,1.2
"CA_Fresno_B5_B_211",2,2,NA,NA,NA,1
"CA_Fresno_C2_C_213",4,4,NA,NA,NA,1
"CA_Fresno_C3_C_214",4,4,NA,NA,NA,1
"CA_Fresno_C4_C_215",2,1,NA,NA,NA,2
"CA_Fresno_C4_C_216",19,16,88.4992134348031,0.684210526315789,18.0792567289732,1.1875
"CA_Fresno_D4_D_228",3,2,NA,NA,NA,1.5
"CA_Fresno_D6_D_230",2,1,NA,NA,NA,2
"CA_Fresno_D8_D_232",3,2,NA,NA,NA,1.5
"CA_Los Angeles_A1_A_233",66,29,72.9741286451269,0.303030303030305,39.7401113770429,2.27586206896552
"CA_Los Angeles_A10_A_234",35,21,54.518925000245,0.37142857142857,38.5187345493435,1.66666666666667
"CA_Los Angeles_A11_A_235",61,30,57.8184610219357,0.229508196721312,51.8865418929402,2.03333333333333
"CA_Los Angeles_A12_A_236",144,30,47.7033221240384,0.104166666666668,62.8887018015094,4.8
"CA_Los Angeles_A13_A_237",74,25,45.8406246553949,0.175675675675674,54.5367786498036,2.96
"CA_Los Angeles_A14_A_239",15,12,50.5293872542705,0.6,23.7485563393326,1.25
"CA_Los Angeles_A15_A_240",25,21,131.384193049559,0.719999999999999,15.9836579367494,1.19047619047619
"CA_Los Angeles_A16_A_241",21,14,38.0801686591186,0.428571428571429,36.7645430494899,1.5
"CA_Los Angeles_A17_A_243",4,4,NA,NA,NA,1
"CA_Los Angeles_A18_A_244",24,13,26.6355242484039,0.291666666666666,48.806998798903,1.84615384615385
"CA_Los Angeles_A2_A_246",19,11,24.9894602216175,0.368421052631579,44.0185578337715,1.72727272727273
"CA_Los Angeles_A21_A_248",72,19,32.8549310902657,0.138888888888889,57.8299797610269,3.78947368421053
"CA_Los Angeles_A23_A_250",2,2,NA,NA,NA,1
