"Area","Records","Observed.richness","SE","R2"
"AL_Birmingham_A1_A_1",10,9,0.00243733904829687,0.99999908956507
"AL_Birmingham_A2_A_2",9,6,0.0363096992425196,0.999472940345275
"AL_Birmingham_A3_A_3",4,4,NA,NA
"AL_Birmingham_B1_B_4",23,16,0.0550022239952052,0.999846562121484
"AL_Birmingham_B13_B_8",14,12,0.00711375496034056,0.999995659805495
"AL_Birmingham_B14_B_9",342,77,0.586464810731018,0.999126669386436
"AL_Birmingham_B16_B_11",4,4,NA,NA
"AL_Birmingham_B2_B_12",10,9,0.00243733904829687,0.99999908956507
"AL_Birmingham_B4_B_14",4,4,NA,NA
"AL_Birmingham_B5_B_15",4,3,0.00684715681898454,0.999916651455104
"AL_Birmingham_C10_C_23",15,10,0.0138729251074497,0.99997445163872
"AL_Birmingham_C11_C_24",16,15,0.00139980090019128,0.999999894183191
"AL_Birmingham_C12_C_25",39,25,0.00639588636376391,0.999999170887866
"AL_Birmingham_C13_C_26",2,2,NA,NA
"AL_Birmingham_C14_C_27",2,2,NA,NA
"AL_Birmingham_C3_C_36",65,44,0.013508054015451,0.999998833538562
"AL_Birmingham_C6_C_39",19,10,0.0321477446269398,0.999853665245373
"AL_Birmingham_C9_C_42",5,4,0.00560201505032432,0.999972276879307
"AL_Birmingham_D10_D_44",7,6,0.00376486817975351,0.999994909742269
"AL_Birmingham_D17_D_54",2,2,NA,NA
"AL_Birmingham_D2_D_58",4,3,0.00684715681898454,0.999916651455104
"AL_Birmingham_D4_D_64",7,7,NA,NA
"AL_Birmingham_D5_D_65",5,3,0.0313924746586254,0.998133546467439
"AL_Birmingham_D7_D_68",3,3,NA,NA
"AL_Birmingham_D8_D_69",4,2,0.0193729656210985,0.99725486228512
"AL_Mobile_C2_C_87",14,12,0.00711375496034056,0.999995659805495
"AL_Mobile_C3_C_88",5,5,NA,NA
"AL_Mobile_C6_C_91",2,2,NA,NA
"AL_Montgomery_A1_A_118",16,13,0.0146173499626544,0.999984353372684
"AL_Montgomery_C1_C_126",10,6,0.0191228442650617,0.999856460885209
"AL_Montgomery_D1_D_133",4,3,0.00684715681898454,0.999916651455104
"AL_Montgomery_D7_D_140",4,4,NA,NA
"AR_Little Rock_A1_A_141",6,3,0.0149663495039215,0.999529027797839
"AR_Little Rock_A2_A_142",27,12,0.0728987498847962,0.999460414348344
"AR_Little Rock_A5_A_145",4,4,NA,NA
"AR_Little Rock_B10_B_147",2,2,NA,NA
"AR_Little Rock_B3_B_151",12,9,0.037716859209981,0.999767117417581
"AR_Little Rock_B7_B_155",4,4,NA,NA
"AR_Little Rock_C1_C_158",3,3,NA,NA
"AR_Little Rock_C2_C_160",4,3,0.00684715681898454,0.999916651455104
"AR_Little Rock_C6_C_164",13,10,0.0194195893823541,0.99995245553424
"AR_Little Rock_D3_D_170",9,9,NA,NA
