"Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio"
"AL_Birmingham_B1_B_4",3,3,NA,NA,NA,1
"AL_Birmingham_B13_B_8",2,2,NA,NA,NA,1
"AL_Birmingham_B14_B_9",8,6,25.4341778736457,0.625,23.5903044706512,1.33333333333333
"AL_Birmingham_C10_C_23",2,2,NA,NA,NA,1
"AL_Birmingham_C12_C_25",12,7,17.2576701289308,0.416666666666667,40.5616745928246,1.71428571428571
"AL_Birmingham_C3_C_36",3,3,NA,NA,NA,1
"AL_Montgomery_A1_A_118",2,1,NA,NA,NA,2
"AL_Montgomery_D3_D_135",2,2,NA,NA,NA,1
"AZ_Phoenix_C3_C_192",2,2,NA,NA,NA,1
"CA_Fresno_C3_C_214",5,1,NA,NA,NA,5
"CA_Los Angeles_A1_A_233",12,7,20.2123986039533,0.416666666666667,34.6322083645771,1.71428571428571
"CA_Los Angeles_A10_A_234",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"CA_Los Angeles_A11_A_235",2,2,NA,NA,NA,1
"CA_Los Angeles_A12_A_236",20,10,20.6886258526858,0.300000000000001,48.335738058223,2
"CA_Los Angeles_A13_A_237",40,10,14.9431379381042,0.0749999999999993,66.9203486002797,4
"CA_Los Angeles_A14_A_239",8,4,7.14741862489096,0.25,55.9642608041728,2
"CA_Los Angeles_A16_A_241",11,3,3.54876875594223,0,84.5363619417765,3.66666666666667
"CA_Los Angeles_A17_A_243",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_A18_A_244",3,2,NA,NA,NA,1.5
"CA_Los Angeles_A2_A_246",7,4,7.37550093176442,0.285714285714286,54.2336044291312,1.75
"CA_Los Angeles_A21_A_248",22,3,3.2221595525505,0.0454545454545454,93.1052590994557,7.33333333333333
"CA_Los Angeles_A26_A_253",10,3,10.7854731386388,0.2,27.8151914286685,3.33333333333333
"CA_Los Angeles_A27_A_254",2,1,NA,NA,NA,2
"CA_Los Angeles_A29_A_256",19,8,12.5988107819372,0.157894736842105,63.4980565901467,2.375
"CA_Los Angeles_A3_A_257",5,3,6.6586585515666,0.4,45.0541197865475,1.66666666666667
"CA_Los Angeles_A30_A_258",15,6,12.1227867857868,0.2,49.4935702988246,2.5
"CA_Los Angeles_A31_A_259",3,2,NA,NA,NA,1.5
"CA_Los Angeles_A33_A_261",3,2,NA,NA,NA,1.5
"CA_Los Angeles_A34_A_262",2,1,NA,NA,NA,2
"CA_Los Angeles_A35_A_263",8,6,25.4341778736457,0.625,23.5903044706512,1.33333333333333
"CA_Los Angeles_A37_A_265",3,3,NA,NA,NA,1
"CA_Los Angeles_A38_A_267",23,8,11.8586286323063,0.173913043478261,67.4614261737292,2.875
"CA_Los Angeles_A39_A_268",4,4,NA,NA,NA,1
"CA_Los Angeles_A4_A_269",53,11,14.6120578770716,0.0943396226415096,75.2802931150484,4.81818181818182
"CA_Los Angeles_A40_A_270",2,2,NA,NA,NA,1
"CA_Los Angeles_A41_A_271",44,8,10.5439743507499,0,75.8727187100094,5.5
"CA_Los Angeles_A43_A_273",21,8,13.184169699535,0.190476190476191,60.6788306151897,2.625
"CA_Los Angeles_A46_A_274",8,2,4.67204827769452,0.125,42.8077768277455,4
"CA_Los Angeles_A47_A_275",5,1,NA,NA,NA,5
"CA_Los Angeles_A49_A_277",2,1,NA,NA,NA,2
"CA_Los Angeles_A5_A_278",8,5,11.1329147117875,0.375,44.911868360098,1.6
"CA_Los Angeles_A52_A_281",2,1,NA,NA,NA,2
"CA_Los Angeles_A53_A_282",2,2,NA,NA,NA,1
"CA_Los Angeles_A54_A_283",3,1,NA,NA,NA,3
"CA_Los Angeles_A55_A_284",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_A56_A_285",5,3,4.8482145482525,0.2,61.8784496878614,1.66666666666667
"CA_Los Angeles_A59_A_287",45,12,16.3639993482285,0.111111111111111,73.3317066606893,3.75
"CA_Los Angeles_A6_A_288",20,8,11.8207381546327,0.15,67.6776686476612,2.5
"CA_Los Angeles_A60_A_289",6,3,6.89396934812963,0.333333333333333,43.5162944380354,2
"CA_Los Angeles_A7_A_290",11,8,23.2451371120631,0.454545454545455,34.4158004378834,1.375
"CA_Los Angeles_A8_A_291",4,4,NA,NA,NA,1
"CA_Los Angeles_A9_A_292",52,12,15.1212869900489,0.0576923076923084,79.3583245123051,4.33333333333333
"CA_Los Angeles_B10_B_294",8,3,4.34228997037984,0.125,69.0879701831054,2.66666666666667
"CA_Los Angeles_B100_B_295",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B101_B_296",4,2,NA,NA,NA,2
"CA_Los Angeles_B11_B_305",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B110_B_306",2,1,NA,NA,NA,2
"CA_Los Angeles_B111_B_307",2,1,NA,NA,NA,2
"CA_Los Angeles_B114_B_310",3,1,NA,NA,NA,3
"CA_Los Angeles_B117_B_313",9,4,13.8378803344855,0.333333333333333,28.906161227826,2.25
"CA_Los Angeles_B118_B_314",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_B119_B_316",2,2,NA,NA,NA,1
"CA_Los Angeles_B12_B_317",9,6,15.7025351170338,0.444444444444445,38.2103905852204,1.5
"CA_Los Angeles_B121_B_319",6,3,6.89396934812963,0.333333333333333,43.5162944380354,2
"CA_Los Angeles_B13_B_321",15,3,4.96783062774707,0.0666666666666664,60.3885322346529,5
"CA_Los Angeles_B14_B_322",4,2,3.09850691532731,0.25,64.5472175681342,2
"CA_Los Angeles_B15_B_323",4,2,NA,NA,NA,2
"CA_Los Angeles_B16_B_324",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"CA_Los Angeles_B17_B_325",2,1,NA,NA,NA,2
"CA_Los Angeles_B19_B_327",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_B2_B_328",2,2,NA,NA,NA,1
"CA_Los Angeles_B20_B_329",2,1,NA,NA,NA,2
"CA_Los Angeles_B23_B_332",2,2,NA,NA,NA,1
"CA_Los Angeles_B25_B_334",2,1,NA,NA,NA,2
"CA_Los Angeles_B26_B_335",12,6,10.6770769064431,0.25,56.1951557769457,2
"CA_Los Angeles_B27_B_336",4,4,NA,NA,NA,1
"CA_Los Angeles_B28_B_337",8,5,11.1329147117875,0.375,44.911868360098,1.6
"CA_Los Angeles_B29_B_338",10,4,5.89981571328186,0.2,67.7987278652631,2.5
"CA_Los Angeles_B3_B_339",2,2,NA,NA,NA,1
"CA_Los Angeles_B30_B_340",25,5,8.54058782504343,0.12,58.5439796700946,5
"CA_Los Angeles_B31_B_341",10,2,5.99160495383198,0.1,33.3800378264405,5
"CA_Los Angeles_B32_B_342",2,2,NA,NA,NA,1
"CA_Los Angeles_B33_B_343",17,2,12.8699435514318,0.0588235294117647,15.540083699726,8.5
"CA_Los Angeles_B34_B_344",5,3,4.8482145482525,0.2,61.8784496878614,1.66666666666667
"CA_Los Angeles_B35_B_345",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B36_B_346",3,1,NA,NA,NA,3
"CA_Los Angeles_B37_B_347",2,1,NA,NA,NA,2
"CA_Los Angeles_B39_B_349",2,2,NA,NA,NA,1
"CA_Los Angeles_B40_B_351",30,7,10.9174944645634,0.0666666666666664,64.1172754675626,4.28571428571429
"CA_Los Angeles_B44_B_355",6,3,6.89396934812963,0.333333333333333,43.5162944380354,2
"CA_Los Angeles_B46_B_357",13,6,11.9750129107486,0.307692307692307,50.1043301140366,2.16666666666667
"CA_Los Angeles_B47_B_358",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B5_B_361",2,2,NA,NA,NA,1
"CA_Los Angeles_B51_B_363",7,2,4.13258352224704,0.142857142857143,48.3958760720346,3.5
"CA_Los Angeles_B53_B_365",4,2,3.09850691532731,0.25,64.5472175681342,2
"CA_Los Angeles_B54_B_366",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B55_B_367",4,2,NA,NA,NA,2
"CA_Los Angeles_B58_B_369",7,2,4.13258352224704,0.142857142857143,48.3958760720346,3.5
"CA_Los Angeles_B59_B_370",2,2,NA,NA,NA,1
"CA_Los Angeles_B6_B_371",4,2,3.09850691532731,0.25,64.5472175681342,2
