"Area","Records","Observed.richness","SE","R2"
"AL_Birmingham_B1_B_4",3,3,NA,NA
"AL_Birmingham_B13_B_8",2,2,NA,NA
"AL_Birmingham_B14_B_9",8,6,0.0194249152549049,0.999856154687062
"AL_Birmingham_C10_C_23",2,2,NA,NA
"AL_Birmingham_C12_C_25",12,7,0.0394808043581139,0.999535416718377
"AL_Birmingham_C3_C_36",3,3,NA,NA
"AL_Montgomery_A1_A_118",2,1,NA,NA
"AL_Montgomery_D3_D_135",2,2,NA,NA
"AZ_Phoenix_C3_C_192",2,2,NA,NA
"CA_Fresno_C3_C_214",5,1,NA,NA
"CA_Los Angeles_A1_A_233",12,7,0.0363615927282526,0.999609565410688
"CA_Los Angeles_A10_A_234",7,6,0.00376486817975351,0.999994909742269
"CA_Los Angeles_A11_A_235",2,2,NA,NA
"CA_Los Angeles_A12_A_236",20,10,0.0412257698661349,0.999755718433979
"CA_Los Angeles_A13_A_237",40,10,0.0662355701397726,0.999265308698181
"CA_Los Angeles_A14_A_239",8,4,0.0108307269070695,0.999874350222094
"CA_Los Angeles_A16_A_241",11,3,0.0442623763326482,0.994895775096066
"CA_Los Angeles_A17_A_243",4,3,0.00684715681898454,0.999916651455104
"CA_Los Angeles_A18_A_244",3,2,NA,NA
"CA_Los Angeles_A2_A_246",7,4,0.0062697901891918,0.999960527596199
"CA_Los Angeles_A21_A_248",22,3,0.0736703883393243,0.975395861144856
"CA_Los Angeles_A26_A_253",10,3,0.0333500420370085,0.997015495606788
"CA_Los Angeles_A27_A_254",2,1,NA,NA
"CA_Los Angeles_A29_A_256",19,8,0.0103927666494937,0.999974482822845
"CA_Los Angeles_A3_A_257",5,3,0.0192610453171459,0.999239778961662
"CA_Los Angeles_A30_A_258",15,6,0.0324679602650619,0.999528302439464
"CA_Los Angeles_A31_A_259",3,2,NA,NA
"CA_Los Angeles_A33_A_261",3,2,NA,NA
"CA_Los Angeles_A34_A_262",2,1,NA,NA
"CA_Los Angeles_A35_A_263",8,6,0.0194249152549049,0.999856154687062
"CA_Los Angeles_A37_A_265",3,3,NA,NA
"CA_Los Angeles_A38_A_267",23,8,0.0702003223339615,0.998689487730051
"CA_Los Angeles_A39_A_268",4,4,NA,NA
"CA_Los Angeles_A4_A_269",53,11,0.206067515898005,0.992982279584241
"CA_Los Angeles_A40_A_270",2,2,NA,NA
"CA_Los Angeles_A41_A_271",44,8,0.0826764260957881,0.998077391024631
"CA_Los Angeles_A43_A_273",21,8,0.0561770910866131,0.99920351626214
"CA_Los Angeles_A46_A_274",8,2,0.0222703835654347,0.99490853870906
"CA_Los Angeles_A47_A_275",5,1,NA,NA
"CA_Los Angeles_A49_A_277",2,1,NA,NA
"CA_Los Angeles_A5_A_278",8,5,0.00322797172397722,0.999993855130195
"CA_Los Angeles_A52_A_281",2,1,NA,NA
"CA_Los Angeles_A53_A_282",2,2,NA,NA
"CA_Los Angeles_A54_A_283",3,1,NA,NA
"CA_Los Angeles_A55_A_284",4,3,0.00684715681898454,0.999916651455104
"CA_Los Angeles_A56_A_285",5,3,0.0313924746586254,0.998133546467439
"CA_Los Angeles_A59_A_287",45,12,0.118792021522692,0.998275848038103
"CA_Los Angeles_A6_A_288",20,8,0.0299936146001599,0.999783629001493
"CA_Los Angeles_A60_A_289",6,3,0.0305419001135244,0.99789240109718
"CA_Los Angeles_A7_A_290",11,8,0.0247536518642342,0.999876413626893
"CA_Los Angeles_A8_A_291",4,4,NA,NA
"CA_Los Angeles_A9_A_292",52,12,0.0513507667993473,0.999667470069411
"CA_Los Angeles_B10_B_294",8,3,0.0106293837058602,0.999724427617793
"CA_Los Angeles_B100_B_295",3,2,NA,NA
"CA_Los Angeles_B101_B_296",4,2,NA,NA
"CA_Los Angeles_B11_B_305",3,2,NA,NA
"CA_Los Angeles_B110_B_306",2,1,NA,NA
"CA_Los Angeles_B111_B_307",2,1,NA,NA
"CA_Los Angeles_B114_B_310",3,1,NA,NA
"CA_Los Angeles_B117_B_313",9,4,0.0431958626847307,0.997856917966166
"CA_Los Angeles_B118_B_314",4,3,0.00684715681898454,0.999916651455104
"CA_Los Angeles_B119_B_316",2,2,NA,NA
"CA_Los Angeles_B12_B_317",9,6,0.0048453410176264,0.999990865912441
"CA_Los Angeles_B121_B_319",6,3,0.0305419001135244,0.99789240109718
"CA_Los Angeles_B13_B_321",15,3,0.0225268303826384,0.998544275095646
"CA_Los Angeles_B14_B_322",4,2,0.0193729656210985,0.99725486228512
"CA_Los Angeles_B15_B_323",4,2,NA,NA
"CA_Los Angeles_B16_B_324",7,6,0.00376486817975351,0.999994909742269
"CA_Los Angeles_B17_B_325",2,1,NA,NA
"CA_Los Angeles_B19_B_327",4,3,0.00684715681898454,0.999916651455104
"CA_Los Angeles_B2_B_328",2,2,NA,NA
"CA_Los Angeles_B20_B_329",2,1,NA,NA
"CA_Los Angeles_B23_B_332",2,2,NA,NA
"CA_Los Angeles_B25_B_334",2,1,NA,NA
"CA_Los Angeles_B26_B_335",12,6,0.00905611824195108,0.999965159313621
"CA_Los Angeles_B27_B_336",4,4,NA,NA
"CA_Los Angeles_B28_B_337",8,5,0.00322797172397722,0.999993855130195
"CA_Los Angeles_B29_B_338",10,4,0.0339911201872118,0.998601608298229
"CA_Los Angeles_B3_B_339",2,2,NA,NA
"CA_Los Angeles_B30_B_340",25,5,0.118682506654297,0.98680175020898
"CA_Los Angeles_B31_B_341",10,2,0.018828547681683,0.996163266149335
"CA_Los Angeles_B32_B_342",2,2,NA,NA
"CA_Los Angeles_B33_B_343",17,2,0.0107586624429662,0.998661758445242
"CA_Los Angeles_B34_B_344",5,3,0.0313924746586254,0.998133546467439
"CA_Los Angeles_B35_B_345",3,2,NA,NA
"CA_Los Angeles_B36_B_346",3,1,NA,NA
"CA_Los Angeles_B37_B_347",2,1,NA,NA
"CA_Los Angeles_B39_B_349",2,2,NA,NA
"CA_Los Angeles_B40_B_351",30,7,0.0345582647850959,0.999589201208795
"CA_Los Angeles_B44_B_355",6,3,0.0305419001135244,0.99789240109718
"CA_Los Angeles_B46_B_357",13,6,0.0628066777976834,0.998198801746242
"CA_Los Angeles_B47_B_358",3,2,NA,NA
"CA_Los Angeles_B5_B_361",2,2,NA,NA
"CA_Los Angeles_B51_B_363",7,2,0.0238524135773284,0.994401560418251
"CA_Los Angeles_B53_B_365",4,2,0.0193729656210985,0.99725486228512
"CA_Los Angeles_B54_B_366",3,2,NA,NA
"CA_Los Angeles_B55_B_367",4,2,NA,NA
"CA_Los Angeles_B58_B_369",7,2,0.0238524135773284,0.994401560418251
"CA_Los Angeles_B59_B_370",2,2,NA,NA
"CA_Los Angeles_B6_B_371",4,2,0.0193729656210985,0.99725486228512
"CA_Los Angeles_B62_B_374",2,1,NA,NA
"CA_Los Angeles_B64_B_376",39,5,0.0143556445192395,0.999846637785804
"CA_Los Angeles_B66_B_378",3,3,NA,NA
"CA_Los Angeles_B68_B_380",3,3,NA,NA
"CA_Los Angeles_B69_B_381",7,2,NA,NA
"CA_Los Angeles_B7_B_382",4,1,NA,NA
"CA_Los Angeles_B71_B_384",2,1,NA,NA
"CA_Los Angeles_B72_B_385",3,1,NA,NA
"CA_Los Angeles_B74_B_387",11,5,0.0446395609801625,0.99863133870875
"CA_Los Angeles_B75_B_388",39,9,0.0642592448561854,0.9990892114181
"CA_Los Angeles_B76_B_389",30,8,0.0139649411248387,0.999947070992974
"CA_Los Angeles_B77_B_390",3,2,NA,NA
"CA_Los Angeles_B78_B_391",5,4,0.00560201505032432,0.999972276879307
"CA_Los Angeles_B79_B_392",2,2,NA,NA
"CA_Los Angeles_B8_B_393",3,2,NA,NA
"CA_Los Angeles_B82_B_396",4,2,0.0193729656210985,0.99725486228512
"CA_Los Angeles_B84_B_398",13,6,0.0218014644501892,0.999794501587949
"CA_Los Angeles_B9_B_404",2,2,NA,NA
"CA_Los Angeles_B92_B_407",7,1,NA,NA
"CA_Los Angeles_B93_B_408",13,5,0.0503308390333932,0.998182322691459
"CA_Los Angeles_B94_B_409",8,2,0.0148191129522163,0.997956425053847
"CA_Los Angeles_B95_B_410",5,1,NA,NA
"CA_Los Angeles_B96_B_411",14,4,0.0360272323934146,0.998373033628154
"CA_Los Angeles_B97_B_412",4,2,0.0193729656210985,0.99725486228512
"CA_Los Angeles_B98_B_413",5,3,0.0192610453171459,0.999239778961662
"CA_Los Angeles_B99_B_414",2,1,NA,NA
"CA_Los Angeles_C1_C_415",3,2,NA,NA
"CA_Los Angeles_C10_C_416",22,6,0.052021459731005,0.998674864618587
"CA_Los Angeles_C100_C_417",10,4,0.0281786839651942,0.999074000957013
"CA_Los Angeles_C101_C_418",4,2,0.0193729656210985,0.99725486228512
"CA_Los Angeles_C102_C_419",2,1,NA,NA
"CA_Los Angeles_C103_C_420",3,2,NA,NA
"CA_Los Angeles_C104_C_421",3,2,NA,NA
"CA_Los Angeles_C106_C_423",3,1,NA,NA
"CA_Los Angeles_C107_C_424",8,3,0.0359409952606842,0.996730472865157
"CA_Los Angeles_C108_C_425",33,4,0.0316404677099258,0.998118960404532
"CA_Los Angeles_C109_C_426",4,2,NA,NA
"CA_Los Angeles_C110_C_429",17,4,0.0402010433948503,0.997785598467882
"CA_Los Angeles_C111_C_430",2,2,NA,NA
