"Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio"
"AL_Birmingham_A1_A_1",32,25,118.081856254239,0.625,21.1717538943266,1.28
"AL_Birmingham_A2_A_2",19,16,88.4992134348031,0.684210526315789,18.0792567289732,1.1875
"AL_Birmingham_A3_A_3",3,3,NA,NA,NA,1
"AL_Birmingham_B1_B_4",38,33,228.76583156639,0.736842105263158,14.4252311518921,1.15151515151515
"AL_Birmingham_B10_B_5",4,4,NA,NA,NA,1
"AL_Birmingham_B13_B_8",15,14,188.84396946577,0.866666666666667,7.41352770734766,1.07142857142857
"AL_Birmingham_B14_B_9",44,37,251.987909926951,0.727272727272727,14.6832441329133,1.18918918918919
"AL_Birmingham_B2_B_12",13,13,NA,NA,NA,1
"AL_Birmingham_B3_B_13",2,2,NA,NA,NA,1
"AL_Birmingham_B4_B_14",2,2,NA,NA,NA,1
"AL_Birmingham_B5_B_15",4,4,NA,NA,NA,1
"AL_Birmingham_C10_C_23",22,22,NA,NA,NA,1
"AL_Birmingham_C11_C_24",51,45,382.993489707871,0.7843137254902,11.7495469790684,1.13333333333333
"AL_Birmingham_C12_C_25",19,16,88.4992134348031,0.684210526315789,18.0792567289732,1.1875
"AL_Birmingham_C14_C_27",2,2,NA,NA,NA,1
"AL_Birmingham_C16_C_29",5,4,13.9329184151309,0.6,28.7089888910572,1.25
"AL_Birmingham_C20_C_35",2,2,NA,NA,NA,1
"AL_Birmingham_C3_C_36",24,22,242.150313927041,0.833333333333332,9.0852659421406,1.09090909090909
"AL_Birmingham_C4_C_37",3,3,NA,NA,NA,1
"AL_Birmingham_C6_C_39",24,19,86.2161499924711,0.625,22.0376344822393,1.26315789473684
"AL_Birmingham_C9_C_42",4,4,NA,NA,NA,1
"AL_Birmingham_D1_D_43",3,3,NA,NA,NA,1
"AL_Birmingham_D10_D_44",5,5,NA,NA,NA,1
"AL_Birmingham_D15_D_49",2,2,NA,NA,NA,1
"AL_Birmingham_D2_D_58",29,23,119.584837855252,0.655172413793103,19.2332074972913,1.26086956521739
"AL_Birmingham_D3_D_62",2,2,NA,NA,NA,1
"AL_Birmingham_D4_D_64",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"AL_Birmingham_D5_D_65",9,9,NA,NA,NA,1
"AL_Birmingham_D5_D_66",2,2,NA,NA,NA,1
"AL_Birmingham_D6_D_67",10,9,76.3681272346926,0.800000000000001,11.7850212200981,1.11111111111111
"AL_Birmingham_D7_D_68",12,12,NA,NA,NA,1
"AL_Birmingham_D8_D_69",3,3,NA,NA,NA,1
"AL_Mobile_B4_B_80",3,3,NA,NA,NA,1
"AL_Mobile_B6_B_82",2,2,NA,NA,NA,1
"AL_Mobile_C2_C_87",22,20,200.156020747606,0.818181818181817,9.99220504349443,1.1
"AL_Mobile_C3_C_88",13,9,23.3942138842656,0.384615384615385,38.4710511946426,1.44444444444444
"AL_Mobile_C6_C_91",4,4,NA,NA,NA,1
"AL_Mobile_D5_D_102",14,14,NA,NA,NA,1
"AL_Mobile_D6_D_104",3,3,NA,NA,NA,1
"AL_Montgomery_A1_A_118",57,50,376.644901026201,0.754385964912281,13.275103383524,1.14
"AL_Montgomery_A2_A_119",3,2,NA,NA,NA,1.5
"AL_Montgomery_B2_B_123",2,2,NA,NA,NA,1
"AL_Montgomery_B3_B_124",6,6,NA,NA,NA,1
"AL_Montgomery_B3_B_125",2,2,NA,NA,NA,1
"AL_Montgomery_C1_C_126",5,5,NA,NA,NA,1
"AL_Montgomery_C3_C_128",7,7,NA,NA,NA,1
"AL_Montgomery_C4_C_129",8,8,NA,NA,NA,1
"AL_Montgomery_D1_D_133",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"AL_Montgomery_D2_D_134",3,3,NA,NA,NA,1
"AL_Montgomery_D3_D_135",4,4,NA,NA,NA,1
"AL_Montgomery_D4_D_136",13,13,NA,NA,NA,1
"AL_Montgomery_D5_D_137",3,3,NA,NA,NA,1
"AL_Montgomery_D6_D_138",4,4,NA,NA,NA,1
"AL_Montgomery_D7_D_140",26,25,612.322800439105,0.923076923076923,4.08281383317299,1.04
"AR_Little Rock_A1_A_141",6,6,NA,NA,NA,1
"AR_Little Rock_A2_A_142",88,62,211.649206663989,0.511363636363633,29.2937549718437,1.41935483870968
"AR_Little Rock_A4_A_144",2,2,NA,NA,NA,1
"AR_Little Rock_A5_A_145",3,3,NA,NA,NA,1
"AR_Little Rock_B3_B_151",29,28,769.819750482306,0.931034482758619,3.6372150730684,1.03571428571429
"AR_Little Rock_B5_B_153",2,2,NA,NA,NA,1
"AR_Little Rock_B7_B_155",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"AR_Little Rock_C1_C_158",16,16,NA,NA,NA,1
"AR_Little Rock_C2_C_160",11,10,94.8616533585581,0.818181818181818,10.5416674134932,1.1
"AR_Little Rock_C3_C_161",4,4,NA,NA,NA,1
"AR_Little Rock_C5_C_163",2,2,NA,NA,NA,1
"AR_Little Rock_C6_C_164",3,3,NA,NA,NA,1
"AR_Little Rock_D2_D_169",2,2,NA,NA,NA,1
"AR_Little Rock_D3_D_170",36,32,264.757567791164,0.777777777777779,12.0865289203899,1.125
"AZ_Phoenix_B3_B_184",12,12,NA,NA,NA,1
"AZ_Phoenix_B4_B_185",3,3,NA,NA,NA,1
"AZ_Phoenix_B5_B_186",2,2,NA,NA,NA,1
"AZ_Phoenix_B6_B_187",14,14,NA,NA,NA,1
"AZ_Phoenix_C1_C_190",4,2,3.09850691532731,0.25,64.5472175681342,2
"AZ_Phoenix_C2_C_191",7,7,NA,NA,NA,1
"AZ_Phoenix_C3_C_192",6,6,NA,NA,NA,1
"AZ_Phoenix_D2_D_195",2,2,NA,NA,NA,1
"AZ_Phoenix_D4_D_197",2,1,NA,NA,NA,2
"AZ_Phoenix_D5_D_198",2,1,NA,NA,NA,2
"AZ_Phoenix_D6_D_199",3,1,NA,NA,NA,3
"AZ_Phoenix_D7_D_200",2,1,NA,NA,NA,2
"CA_Fresno_B2_B_205",3,3,NA,NA,NA,1
"CA_Fresno_C2_C_213",2,2,NA,NA,NA,1
"CA_Fresno_C3_C_214",7,7,NA,NA,NA,1
"CA_Fresno_C4_C_216",9,8,59.8759170331237,0.777777777777778,13.3609644685264,1.125
"CA_Fresno_C7_C_220",2,2,NA,NA,NA,1
"CA_Los Angeles_A1_A_233",15,13,84.6874532250617,0.733333333333333,15.3505619840188,1.15384615384615
"CA_Los Angeles_A10_A_234",133,61,117.011488974651,0.225563909774436,52.131632999914,2.18032786885246
"CA_Los Angeles_A11_A_235",4,4,NA,NA,NA,1
"CA_Los Angeles_A12_A_236",1780,167,226.718480412511,0.0320224719101248,73.6596327287241,10.6586826347305
"CA_Los Angeles_A13_A_237",44,39,316.952437508149,0.772727272727273,12.3046853043991,1.12820512820513
"CA_Los Angeles_A15_A_240",13,11,83.4623347019508,0.769230769230768,13.179597766204,1.18181818181818
"CA_Los Angeles_A16_A_241",17,16,247.83817472579,0.882352941176471,6.45582546663867,1.0625
"CA_Los Angeles_A17_A_243",5,5,NA,NA,NA,1
"CA_Los Angeles_A18_A_244",21,18,111.488197131856,0.714285714285715,16.145206813876,1.16666666666667
"CA_Los Angeles_A19_A_245",9,9,NA,NA,NA,1
"CA_Los Angeles_A2_A_246",10,9,76.3681272346926,0.800000000000001,11.7850212200981,1.11111111111111
"CA_Los Angeles_A21_A_248",31,29,420.635972694855,0.870967741935484,6.89432237908898,1.06896551724138
"CA_Los Angeles_A25_A_252",8,7,45.3854722980917,0.75,15.4234376014069,1.14285714285714
"CA_Los Angeles_A26_A_253",11,11,NA,NA,NA,1
"CA_Los Angeles_A27_A_254",2,2,NA,NA,NA,1
"CA_Los Angeles_A28_A_255",5,5,NA,NA,NA,1
"CA_Los Angeles_A29_A_256",53,44,245.764124494254,0.679245283018865,17.9033453684688,1.20454545454545
"CA_Los Angeles_A3_A_257",7,6,32.8974283942516,0.714285714285714,18.2385076672085,1.16666666666667
"CA_Los Angeles_A30_A_258",42,36,229.367044009157,0.714285714285715,15.6953672902384,1.16666666666667
"CA_Los Angeles_A31_A_259",74,39,88.5894530417989,0.310810810810807,44.0232992313416,1.8974358974359
"CA_Los Angeles_A32_A_260",7,7,NA,NA,NA,1
"CA_Los Angeles_A33_A_261",14,14,NA,NA,NA,1
"CA_Los Angeles_A34_A_262",3,3,NA,NA,NA,1
"CA_Los Angeles_A35_A_263",14,12,72.194349950947,0.714285714285714,16.6217993626281,1.16666666666667
"CA_Los Angeles_A37_A_265",11,11,NA,NA,NA,1
"CA_Los Angeles_A38_A_266",3,2,NA,NA,NA,1.5
"CA_Los Angeles_A38_A_267",31,28,266.4537226561,0.806451612903224,10.508391371262,1.10714285714286
"CA_Los Angeles_A39_A_268",7,5,12.7895845884099,0.428571428571429,39.094311198591,1.4
"CA_Los Angeles_A4_A_269",95,58,161.359258900913,0.410526315789475,35.9446370757171,1.63793103448276
"CA_Los Angeles_A40_A_270",8,8,NA,NA,NA,1
"CA_Los Angeles_A41_A_271",112,77,255.069706811809,0.491071428571431,30.187826285781,1.45454545454545
"CA_Los Angeles_A42_A_272",2,1,NA,NA,NA,2
"CA_Los Angeles_A43_A_273",22,22,NA,NA,NA,1
"CA_Los Angeles_A46_A_274",21,19,180.659283353687,0.80952380952381,10.5170349662036,1.10526315789474
"CA_Los Angeles_A48_A_276",2,2,NA,NA,NA,1
"CA_Los Angeles_A5_A_278",10,9,76.3681272346926,0.800000000000001,11.7850212200981,1.11111111111111
"CA_Los Angeles_A50_A_279",2,2,NA,NA,NA,1
"CA_Los Angeles_A51_A_280",2,2,NA,NA,NA,1
"CA_Los Angeles_A52_A_281",13,11,60.7022601515724,0.692307692307692,18.1212362975171,1.18181818181818
"CA_Los Angeles_A55_A_284",8,8,NA,NA,NA,1
"CA_Los Angeles_A56_A_285",13,12,137.851528497232,0.846153846153845,8.70501773235034,1.08333333333333
"CA_Los Angeles_A59_A_287",395,145,262.289403652157,0.192405063291147,55.2824467862591,2.72413793103448
"CA_Los Angeles_A6_A_288",27,24,352.172410864163,0.851851851851851,6.8148438831732,1.125
"CA_Los Angeles_A60_A_289",139,76,171.373554609225,0.330935251798564,44.3475658617802,1.82894736842105
"CA_Los Angeles_A7_A_290",15,15,NA,NA,NA,1
"CA_Los Angeles_A8_A_291",29,23,123.986188741193,0.689655172413794,18.5504532670246,1.26086956521739
"CA_Los Angeles_A9_A_292",80,53,161.455366068659,0.475000000000001,32.8264097320008,1.50943396226415
"CA_Los Angeles_B1_B_293",3,3,NA,NA,NA,1
"CA_Los Angeles_B10_B_294",8,6,25.4341778736457,0.625,23.5903044706512,1.33333333333333
"CA_Los Angeles_B100_B_295",8,8,NA,NA,NA,1
"CA_Los Angeles_B101_B_296",7,5,12.7895845884099,0.428571428571429,39.094311198591,1.4
"CA_Los Angeles_B102_B_297",2,2,NA,NA,NA,1
"CA_Los Angeles_B103_B_298",4,4,NA,NA,NA,1
"CA_Los Angeles_B105_B_300",5,5,NA,NA,NA,1
"CA_Los Angeles_B106_B_301",5,5,NA,NA,NA,1
"CA_Los Angeles_B107_B_302",3,2,NA,NA,NA,1.5
"CA_Los Angeles_B109_B_304",6,6,NA,NA,NA,1
"CA_Los Angeles_B11_B_305",31,28,319.283716172584,0.838709677419352,8.76962982505033,1.10714285714286
"CA_Los Angeles_B110_B_306",5,5,NA,NA,NA,1
"CA_Los Angeles_B111_B_307",5,5,NA,NA,NA,1
"CA_Los Angeles_B116_B_312",3,3,NA,NA,NA,1
"CA_Los Angeles_B117_B_313",67,48,187.716883958094,0.552238805970148,25.5704223231808,1.39583333333333
"CA_Los Angeles_B118_B_314",46,36,180.092472932729,0.630434782608695,19.9897305055316,1.27777777777778
"CA_Los Angeles_B12_B_317",7,7,NA,NA,NA,1
"CA_Los Angeles_B121_B_319",12,10,50.2113719008126,0.666666666666668,19.9158071596888,1.2
"CA_Los Angeles_B122_B_320",3,3,NA,NA,NA,1
"CA_Los Angeles_B13_B_321",24,21,150.974953895711,0.75,13.9095919277486,1.14285714285714
"CA_Los Angeles_B14_B_322",8,6,18.2675428838315,0.5,32.8451398097473,1.33333333333333
"CA_Los Angeles_B15_B_323",3,3,NA,NA,NA,1
"CA_Los Angeles_B16_B_324",56,46,242.34852320478,0.660714285714285,18.9809285370106,1.21739130434783
"CA_Los Angeles_B17_B_325",8,7,45.3854722980917,0.75,15.4234376014069,1.14285714285714
"CA_Los Angeles_B18_B_326",9,8,59.8759170331237,0.777777777777778,13.3609644685264,1.125
"CA_Los Angeles_B19_B_327",4,4,NA,NA,NA,1
"CA_Los Angeles_B2_B_328",3,3,NA,NA,NA,1
"CA_Los Angeles_B20_B_329",4,4,NA,NA,NA,1
"CA_Los Angeles_B21_B_330",3,3,NA,NA,NA,1
"CA_Los Angeles_B22_B_331",2,2,NA,NA,NA,1
"CA_Los Angeles_B23_B_332",11,10,94.8616533585581,0.818181818181818,10.5416674134932,1.1
"CA_Los Angeles_B24_B_333",32,30,450.134449728609,0.875,6.66467541377633,1.06666666666667
"CA_Los Angeles_B25_B_334",12,10,50.2113719008126,0.666666666666668,19.9158071596888,1.2
"CA_Los Angeles_B26_B_335",74,63,422.108677405159,0.729729729729726,14.9250663092931,1.17460317460317
"CA_Los Angeles_B27_B_336",19,17,144.6667586605,0.789473684210527,11.7511446011555,1.11764705882353
"CA_Los Angeles_B28_B_337",143,64,152.136959946886,0.3006993006993,42.0673582687229,2.234375
"CA_Los Angeles_B29_B_338",7,7,NA,NA,NA,1
"CA_Los Angeles_B3_B_339",42,31,102.95431139804,0.476190476190478,30.1104437289162,1.35483870967742
"CA_Los Angeles_B30_B_340",17,16,247.83817472579,0.882352941176471,6.45582546663867,1.0625
"CA_Los Angeles_B31_B_341",24,21,150.974953895711,0.75,13.9095919277486,1.14285714285714
"CA_Los Angeles_B32_B_342",19,17,144.6667586605,0.789473684210527,11.7511446011555,1.11764705882353
"CA_Los Angeles_B33_B_343",16,15,217.34088308962,0.875,6.90160074200802,1.06666666666667
"CA_Los Angeles_B34_B_344",14,13,162.347513498635,0.857142857142858,8.00751407880929,1.07692307692308
"CA_Los Angeles_B35_B_345",7,7,NA,NA,NA,1
"CA_Los Angeles_B36_B_346",13,12,137.851528497232,0.846153846153845,8.70501773235034,1.08333333333333
"CA_Los Angeles_B37_B_347",7,7,NA,NA,NA,1
"CA_Los Angeles_B38_B_348",3,3,NA,NA,NA,1
"CA_Los Angeles_B39_B_349",2,2,NA,NA,NA,1
