"Area","Records","Observed.richness","SE","R2"
"AL_Birmingham_A1_A_1",32,25,0.014905688958806,0.999995603947001
"AL_Birmingham_A2_A_2",19,16,0.0116916116452352,0.999993455955847
"AL_Birmingham_A3_A_3",3,3,NA,NA
"AL_Birmingham_B1_B_4",38,33,0.0150540393636727,0.999997484524041
"AL_Birmingham_B10_B_5",4,4,NA,NA
"AL_Birmingham_B13_B_8",15,14,0.00150822416755969,0.999999858724731
"AL_Birmingham_B14_B_9",44,37,0.0227511275069829,0.999995381340931
"AL_Birmingham_B2_B_12",13,13,NA,NA
"AL_Birmingham_B3_B_13",2,2,NA,NA
"AL_Birmingham_B4_B_14",2,2,NA,NA
"AL_Birmingham_B5_B_15",4,4,NA,NA
"AL_Birmingham_C10_C_23",22,22,NA,NA
"AL_Birmingham_C11_C_24",51,45,0.00690969368654678,0.999999714523297
"AL_Birmingham_C12_C_25",19,16,0.0116916116452352,0.999993455955847
"AL_Birmingham_C14_C_27",2,2,NA,NA
"AL_Birmingham_C16_C_29",5,4,0.00560201505032432,0.999972276879307
"AL_Birmingham_C20_C_35",2,2,NA,NA
"AL_Birmingham_C3_C_36",24,22,0.00370725363474745,0.999999656145768
"AL_Birmingham_C4_C_37",3,3,NA,NA
"AL_Birmingham_C6_C_39",24,19,0.00131911920095535,0.999999940370446
"AL_Birmingham_C9_C_42",4,4,NA,NA
"AL_Birmingham_D1_D_43",3,3,NA,NA
"AL_Birmingham_D10_D_44",5,5,NA,NA
"AL_Birmingham_D15_D_49",2,2,NA,NA
"AL_Birmingham_D2_D_58",29,23,0.0217965151408104,0.999988864924068
"AL_Birmingham_D3_D_62",2,2,NA,NA
"AL_Birmingham_D4_D_64",4,3,0.00684715681898454,0.999916651455104
"AL_Birmingham_D5_D_65",9,9,NA,NA
"AL_Birmingham_D5_D_66",2,2,NA,NA
"AL_Birmingham_D6_D_67",10,9,0.00243733904829687,0.99999908956507
"AL_Birmingham_D7_D_68",12,12,NA,NA
"AL_Birmingham_D8_D_69",3,3,NA,NA
"AL_Mobile_B4_B_80",3,3,NA,NA
"AL_Mobile_B6_B_82",2,2,NA,NA
"AL_Mobile_C2_C_87",22,20,0.00410333424920982,0.99999948935245
"AL_Mobile_C3_C_88",13,9,0.0383505408291416,0.999767411934243
"AL_Mobile_C6_C_91",4,4,NA,NA
"AL_Mobile_D5_D_102",14,14,NA,NA
"AL_Mobile_D6_D_104",3,3,NA,NA
"AL_Montgomery_A1_A_118",57,50,0.0191561987516894,0.999998231610045
"AL_Montgomery_A2_A_119",3,2,NA,NA
"AL_Montgomery_B2_B_123",2,2,NA,NA
"AL_Montgomery_B3_B_124",6,6,NA,NA
"AL_Montgomery_B3_B_125",2,2,NA,NA
"AL_Montgomery_C1_C_126",5,5,NA,NA
"AL_Montgomery_C3_C_128",7,7,NA,NA
"AL_Montgomery_C4_C_129",8,8,NA,NA
"AL_Montgomery_D1_D_133",7,6,0.00376486817975351,0.999994909742269
"AL_Montgomery_D2_D_134",3,3,NA,NA
"AL_Montgomery_D3_D_135",4,4,NA,NA
"AL_Montgomery_D4_D_136",13,13,NA,NA
"AL_Montgomery_D5_D_137",3,3,NA,NA
"AL_Montgomery_D6_D_138",4,4,NA,NA
"AL_Montgomery_D7_D_140",26,25,0.000810306143759727,0.999999987335638
"AR_Little Rock_A1_A_141",6,6,NA,NA
"AR_Little Rock_A2_A_142",88,62,0.0347799833954683,0.999996109045163
"AR_Little Rock_A4_A_144",2,2,NA,NA
"AR_Little Rock_A5_A_145",3,3,NA,NA
"AR_Little Rock_B3_B_151",29,28,0.000718801931841438,0.999999992062761
"AR_Little Rock_B5_B_153",2,2,NA,NA
"AR_Little Rock_B7_B_155",7,6,0.00376486817975351,0.999994909742269
"AR_Little Rock_C1_C_158",16,16,NA,NA
"AR_Little Rock_C2_C_160",11,10,0.00217356516736688,0.999999417206335
"AR_Little Rock_C3_C_161",4,4,NA,NA
"AR_Little Rock_C5_C_163",2,2,NA,NA
"AR_Little Rock_C6_C_164",3,3,NA,NA
"AR_Little Rock_D2_D_169",2,2,NA,NA
"AR_Little Rock_D3_D_170",36,32,0.00996228283889558,0.99999882898726
"AZ_Phoenix_B3_B_184",12,12,NA,NA
"AZ_Phoenix_B4_B_185",3,3,NA,NA
"AZ_Phoenix_B5_B_186",2,2,NA,NA
"AZ_Phoenix_B6_B_187",14,14,NA,NA
"AZ_Phoenix_C1_C_190",4,2,0.0193729656210985,0.99725486228512
"AZ_Phoenix_C2_C_191",7,7,NA,NA
"AZ_Phoenix_C3_C_192",6,6,NA,NA
"AZ_Phoenix_D2_D_195",2,2,NA,NA
"AZ_Phoenix_D4_D_197",2,1,NA,NA
"AZ_Phoenix_D5_D_198",2,1,NA,NA
"AZ_Phoenix_D6_D_199",3,1,NA,NA
"AZ_Phoenix_D7_D_200",2,1,NA,NA
