"Area","Records","Observed.richness","Richness","Slope","Completeness","Ratio"
"AL_Birmingham_A1_A_1",3,3,NA,NA,NA,1
"AL_Birmingham_B1_B_4",2,2,NA,NA,NA,1
"AL_Birmingham_B13_B_8",2,2,NA,NA,NA,1
"AL_Birmingham_B14_B_9",6,3,4.43634832805135,0.166666666666667,67.6231841632178,2
"AL_Birmingham_B2_B_12",2,2,NA,NA,NA,1
"AL_Birmingham_C11_C_24",6,6,NA,NA,NA,1
"AL_Birmingham_C3_C_36",4,4,NA,NA,NA,1
"AL_Birmingham_C6_C_39",3,2,NA,NA,NA,1.5
"AL_Birmingham_D2_D_58",2,2,NA,NA,NA,1
"AL_Birmingham_D4_D_64",2,2,NA,NA,NA,1
"AL_Birmingham_D7_D_68",2,2,NA,NA,NA,1
"AL_Mobile_C2_C_87",5,3,4.8482145482525,0.2,61.8784496878614,1.66666666666667
"AL_Montgomery_A1_A_118",2,2,NA,NA,NA,1
"AL_Montgomery_C1_C_126",2,2,NA,NA,NA,1
"AL_Montgomery_D3_D_135",5,2,3.33308896444692,0.2,60.0043989624463,2.5
"AR_Little Rock_A2_A_142",3,3,NA,NA,NA,1
"AR_Little Rock_C2_C_160",2,2,NA,NA,NA,1
"AZ_Phoenix_C3_C_192",2,2,NA,NA,NA,1
"CA_Fresno_C4_C_216",2,2,NA,NA,NA,1
"CA_Los Angeles_A1_A_233",13,4,6.31511622609327,0.153846153846154,63.3400852303003,3.25
"CA_Los Angeles_A10_A_234",30,6,7.86475915552279,0,76.289685181099,5
"CA_Los Angeles_A11_A_235",6,2,2.31549807146241,0,86.3745051075276,3
"CA_Los Angeles_A12_A_236",41,5,10.7346212238165,0.0731707317073171,46.5782620154933,8.2
"CA_Los Angeles_A13_A_237",55,5,11.7857704900167,0.0545454545454547,42.4240401103629,11
"CA_Los Angeles_A14_A_239",5,1,NA,NA,NA,5
"CA_Los Angeles_A15_A_240",7,4,7.37550093176442,0.285714285714286,54.2336044291312,1.75
"CA_Los Angeles_A16_A_241",5,3,6.6586585515666,0.4,45.0541197865475,1.66666666666667
"CA_Los Angeles_A18_A_244",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_A2_A_246",2,1,NA,NA,NA,2
"CA_Los Angeles_A20_A_247",5,1,NA,NA,NA,5
"CA_Los Angeles_A21_A_248",40,2,58.774233584395,0.0249999999999999,3.40285168861991,20
"CA_Los Angeles_A23_A_250",2,2,NA,NA,NA,1
"CA_Los Angeles_A26_A_253",3,3,NA,NA,NA,1
"CA_Los Angeles_A27_A_254",12,5,11.344211525355,0.25,44.075341761961,2.4
"CA_Los Angeles_A29_A_256",26,6,7.46072724509802,0,80.421114495805,4.33333333333333
"CA_Los Angeles_A3_A_257",4,3,7.4600625000178,0.5,40.214140296986,1.33333333333333
"CA_Los Angeles_A30_A_258",10,5,10.7702450431376,0.3,46.4241990778641,2
"CA_Los Angeles_A31_A_259",6,2,2.31549807146241,0,86.3745051075276,3
"CA_Los Angeles_A33_A_261",3,3,NA,NA,NA,1
"CA_Los Angeles_A34_A_262",6,3,6.89396934812963,0.333333333333333,43.5162944380354,2
"CA_Los Angeles_A35_A_263",17,5,6.38975858857639,0.117647058823529,78.2502176050751,3.4
"CA_Los Angeles_A37_A_265",11,4,6.16525609416543,0.181818181818182,64.8797055451671,2.75
"CA_Los Angeles_A38_A_267",11,4,6.16525609416543,0.181818181818182,64.8797055451671,2.75
"CA_Los Angeles_A4_A_269",31,9,12.7837395395564,0.0967741935483879,70.401934990552,3.44444444444444
"CA_Los Angeles_A41_A_271",31,6,7.10060067876783,0,84.4998933391812,5.16666666666667
"CA_Los Angeles_A42_A_272",18,3,4.09655276640541,0.0555555555555554,73.2323046001528,6
"CA_Los Angeles_A43_A_273",9,4,13.8378803344855,0.333333333333333,28.906161227826,2.25
"CA_Los Angeles_A47_A_275",2,2,NA,NA,NA,1
"CA_Los Angeles_A5_A_278",8,2,2.33698535491841,0,85.5803394655772,4
"CA_Los Angeles_A54_A_283",4,1,NA,NA,NA,4
