"Area","Records","Observed.richness","SE","R2"
"AL_Birmingham_A1_A_1",3,3,NA,NA
"AL_Birmingham_B1_B_4",2,2,NA,NA
"AL_Birmingham_B13_B_8",2,2,NA,NA
"AL_Birmingham_B14_B_9",6,3,0.0149663495039215,0.999529027797839
"AL_Birmingham_B2_B_12",2,2,NA,NA
"AL_Birmingham_C11_C_24",6,6,NA,NA
"AL_Birmingham_C3_C_36",4,4,NA,NA
"AL_Birmingham_C6_C_39",3,2,NA,NA
"AL_Birmingham_D2_D_58",2,2,NA,NA
"AL_Birmingham_D4_D_64",2,2,NA,NA
"AL_Birmingham_D7_D_68",2,2,NA,NA
"AL_Mobile_C2_C_87",5,3,0.0313924746586254,0.998133546467439
"AL_Montgomery_A1_A_118",2,2,NA,NA
"AL_Montgomery_C1_C_126",2,2,NA,NA
"AL_Montgomery_D3_D_135",5,2,0.0240310806473435,0.995122526713859
"AR_Little Rock_A2_A_142",3,3,NA,NA
"AR_Little Rock_C2_C_160",2,2,NA,NA
"AZ_Phoenix_C3_C_192",2,2,NA,NA
"CA_Fresno_C4_C_216",2,2,NA,NA
"CA_Los Angeles_A1_A_233",13,4,0.0412338801336688,0.997781506542262
"CA_Los Angeles_A10_A_234",30,6,0.0655553150827367,0.997814627237903
"CA_Los Angeles_A11_A_235",6,2,0.0228442367866804,0.995888074756456
"CA_Los Angeles_A12_A_236",41,5,0.0397417081430897,0.998687857089848
"CA_Los Angeles_A13_A_237",55,5,0.121402022754126,0.983575274938516
"CA_Los Angeles_A14_A_239",5,1,NA,NA
"CA_Los Angeles_A15_A_240",7,4,0.0062697901891918,0.999960527596199
"CA_Los Angeles_A16_A_241",5,3,0.0192610453171459,0.999239778961662
"CA_Los Angeles_A18_A_244",4,3,0.00684715681898454,0.999916651455104
"CA_Los Angeles_A2_A_246",2,1,NA,NA
"CA_Los Angeles_A20_A_247",5,1,NA,NA
"CA_Los Angeles_A21_A_248",40,2,0.00352453686397433,0.999851948836493
"CA_Los Angeles_A23_A_250",2,2,NA,NA
"CA_Los Angeles_A26_A_253",3,3,NA,NA
"CA_Los Angeles_A27_A_254",12,5,0.0392416675858555,0.99895067735406
"CA_Los Angeles_A29_A_256",26,6,0.0787638857513753,0.996819797325689
"CA_Los Angeles_A3_A_257",4,3,0.00684715681898454,0.999916651455104
"CA_Los Angeles_A30_A_258",10,5,0.0284658806460004,0.999476251969121
"CA_Los Angeles_A31_A_259",6,2,0.0228442367866804,0.995888074756456
"CA_Los Angeles_A33_A_261",3,3,NA,NA
"CA_Los Angeles_A34_A_262",6,3,0.0305419001135244,0.99789240109718
"CA_Los Angeles_A35_A_263",17,5,0.0431582922149953,0.998483292949053
"CA_Los Angeles_A37_A_265",11,4,0.0357232334374928,0.99841540832544
