msa_GEOID,NA_L1NAME
10420,EASTERN TEMPERATE FORESTS
10580,EASTERN TEMPERATE FORESTS
10900,EASTERN TEMPERATE FORESTS
11020,EASTERN TEMPERATE FORESTS
11100,GREAT PLAINS
11700,EASTERN TEMPERATE FORESTS
12060,EASTERN TEMPERATE FORESTS
12100,EASTERN TEMPERATE FORESTS
12260,EASTERN TEMPERATE FORESTS
12420,GREAT PLAINS
12580,EASTERN TEMPERATE FORESTS
12980,EASTERN TEMPERATE FORESTS
13020,EASTERN TEMPERATE FORESTS
13140,GREAT PLAINS
13780,EASTERN TEMPERATE FORESTS
13820,EASTERN TEMPERATE FORESTS
14460,EASTERN TEMPERATE FORESTS
14860,EASTERN TEMPERATE FORESTS
15380,EASTERN TEMPERATE FORESTS
15940,EASTERN TEMPERATE FORESTS
16620,EASTERN TEMPERATE FORESTS
16740,EASTERN TEMPERATE FORESTS
16860,EASTERN TEMPERATE FORESTS
16980,EASTERN TEMPERATE FORESTS
17140,EASTERN TEMPERATE FORESTS
17460,EASTERN TEMPERATE FORESTS
17900,EASTERN TEMPERATE FORESTS
17980,EASTERN TEMPERATE FORESTS
18140,EASTERN TEMPERATE FORESTS
18180,NORTHERN FORESTS
19100,GREAT PLAINS
19340,EASTERN TEMPERATE FORESTS
19430,EASTERN TEMPERATE FORESTS
19500,EASTERN TEMPERATE FORESTS
19740,GREAT PLAINS
19780,GREAT PLAINS
19820,EASTERN TEMPERATE FORESTS
20220,EASTERN TEMPERATE FORESTS
20260,NORTHERN FORESTS
20500,EASTERN TEMPERATE FORESTS
21340,NORTH AMERICAN DESERTS
21300,EASTERN TEMPERATE FORESTS
21500,EASTERN TEMPERATE FORESTS
21780,EASTERN TEMPERATE FORESTS
22420,EASTERN TEMPERATE FORESTS
23060,EASTERN TEMPERATE FORESTS
23420,MEDITERRANEAN CALIFORNIA
24340,EASTERN TEMPERATE FORESTS
24660,EASTERN TEMPERATE FORESTS
25420,EASTERN TEMPERATE FORESTS
25540,EASTERN TEMPERATE FORESTS
26420,GREAT PLAINS
26580,EASTERN TEMPERATE FORESTS
26900,EASTERN TEMPERATE FORESTS
27100,EASTERN TEMPERATE FORESTS
27140,EASTERN TEMPERATE FORESTS
27260,EASTERN TEMPERATE FORESTS
27780,EASTERN TEMPERATE FORESTS
28020,EASTERN TEMPERATE FORESTS
28140,GREAT PLAINS
28940,EASTERN TEMPERATE FORESTS
29540,EASTERN TEMPERATE FORESTS
29620,EASTERN TEMPERATE FORESTS
30460,EASTERN TEMPERATE FORESTS
30620,EASTERN TEMPERATE FORESTS
30700,GREAT PLAINS
30780,EASTERN TEMPERATE FORESTS
31080,MEDITERRANEAN CALIFORNIA
31140,EASTERN TEMPERATE FORESTS
31340,EASTERN TEMPERATE FORESTS
31420,EASTERN TEMPERATE FORESTS
31540,EASTERN TEMPERATE FORESTS
31700,NORTHERN FORESTS
32820,EASTERN TEMPERATE FORESTS
33100,TROPICAL WET FORESTS
33340,EASTERN TEMPERATE FORESTS
33460,EASTERN TEMPERATE FORESTS
33660,EASTERN TEMPERATE FORESTS
33780,EASTERN TEMPERATE FORESTS
33860,EASTERN TEMPERATE FORESTS
34620,EASTERN TEMPERATE FORESTS
34740,EASTERN TEMPERATE FORESTS
34980,EASTERN TEMPERATE FORESTS
35260,EASTERN TEMPERATE FORESTS
35300,EASTERN TEMPERATE FORESTS
35380,EASTERN TEMPERATE FORESTS
35620,EASTERN TEMPERATE FORESTS
36260,NORTH AMERICAN DESERTS
36420,GREAT PLAINS
36540,GREAT PLAINS
36780,EASTERN TEMPERATE FORESTS
37900,EASTERN TEMPERATE FORESTS
37980,EASTERN TEMPERATE FORESTS
38060,NORTH AMERICAN DESERTS
38300,EASTERN TEMPERATE FORESTS
