system:index,ar_hl_2,city,cty_stt,globl_d,hlc_grd,holc_id,id,max,mean,state,stdDev,valid,.geo
00000000000000000000,4.751164763734486,Birmingham,"Birmingham, AL",1,A,A1,AL_Birmingham_A1_A_1,0.7182391285896301,0.6531144323560205,AL,0.06552163905118016,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2.667106123536017,Birmingham,"Birmingham, AL",2,A,A2,AL_Birmingham_A2_A_2,0.7126434445381165,0.5991022766001698,AL,0.048050101801239566,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,1.241928184503596,Birmingham,"Birmingham, AL",3,A,A3,AL_Birmingham_A3_A_3,0.6829913258552551,0.6031057129297076,AL,0.04130520260635105,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4.536722099206552,Birmingham,"Birmingham, AL",4,B,B1,AL_Birmingham_B1_B_4,0.6564086675643921,0.5468170913203189,AL,0.06438136125065692,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0.158420038703103,Birmingham,"Birmingham, AL",5,B,B10,AL_Birmingham_B10_B_5,0.6054782867431641,0.5551128777380914,AL,0.07618144874538406,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.449979249984045,Birmingham,"Birmingham, AL",6,B,B11,AL_Birmingham_B11_B_6,0.5405434966087341,0.5098245746892976,AL,0.02595425708998875,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0.767451668349769,Birmingham,"Birmingham, AL",7,B,B12,AL_Birmingham_B12_B_7,0.6067652106285095,0.5299759655427534,AL,0.05296869628689118,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.432087494625673,Birmingham,"Birmingham, AL",8,B,B13,AL_Birmingham_B13_B_8,0.6341434717178345,0.6036368990316988,AL,0.033150626310661256,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,1.646220693703297,Birmingham,"Birmingham, AL",9,B,B14,AL_Birmingham_B14_B_9,0.7256174087524414,0.6254550078453501,AL,0.07964048327559267,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.144474144187093,Birmingham,"Birmingham, AL",10,B,B15,AL_Birmingham_B15_B_10,0.5756434798240662,0.5386603762931256,AL,0.050583333710801905,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,0.136699781790137,Birmingham,"Birmingham, AL",11,B,B16,AL_Birmingham_B16_B_11,0.585686981678009,0.5069061404718733,AL,0.05686896289327135,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,1.925629519871755,Birmingham,"Birmingham, AL",12,B,B2,AL_Birmingham_B2_B_12,0.7126434445381165,0.6034473751779197,AL,0.10623661933434894,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,0.490105783412065,Birmingham,"Birmingham, AL",13,B,B3,AL_Birmingham_B3_B_13,0.6407130360603333,0.5767650307973493,AL,0.032556036257049205,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,0.50045085127238,Birmingham,"Birmingham, AL",14,B,B4,AL_Birmingham_B4_B_14,0.6718869805335999,0.6193844655389117,AL,0.029407348507797613,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,1.363377814473916,Birmingham,"Birmingham, AL",15,B,B5,AL_Birmingham_B5_B_15,0.637421727180481,0.4922727004408478,AL,0.10463017738578802,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,1.095644755057238,Birmingham,"Birmingham, AL",16,B,B6,AL_Birmingham_B6_B_16,0.6474565267562866,0.5439197141166591,AL,0.042199756532767634,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,0.224122881235577,Birmingham,"Birmingham, AL",17,B,B7,AL_Birmingham_B7_B_17,0.5353956818580627,0.4941752668778607,AL,0.041751929204106884,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,0.415337320405576,Birmingham,"Birmingham, AL",18,B,B8,AL_Birmingham_B8_B_18,0.5462825894355774,0.5330915753639869,AL,0.012998027495634175,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,0.179010022861801,Birmingham,"Birmingham, AL",19,B,B9,AL_Birmingham_B9_B_19,0.6391695737838745,0.6139295716155806,AL,0.04176557944337162,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,0.165261859684944,Birmingham,"Birmingham, AL",20,C,C1,AL_Birmingham_C1_C_20,0.46949130296707153,0.4437572579596041,AL,0.0485694224292909,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,0.112705763170607,Birmingham,"Birmingham, AL",21,C,C1,AL_Birmingham_C1_C_21,0.6206825971603394,0.5482059474626598,AL,0.04799650039948087,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,0.946118600735813,Birmingham,"Birmingham, AL",22,C,C1,AL_Birmingham_C1_C_22,0.5754521489143372,0.48643124834347046,AL,0.07803649288143075,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,0.925446880235294,Birmingham,"Birmingham, AL",23,C,C10,AL_Birmingham_C10_C_23,0.6472173929214478,0.5104621155528936,AL,0.12394893359820798,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,2.354833859120177,Birmingham,"Birmingham, AL",24,C,C11,AL_Birmingham_C11_C_24,0.6318782567977905,0.4348792927478482,AL,0.11549426279611459,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,1.671045301708195,Birmingham,"Birmingham, AL",25,C,C12,AL_Birmingham_C12_C_25,0.6602304577827454,0.5893518466465508,AL,0.070695870016873,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,0.408049087643599,Birmingham,"Birmingham, AL",26,C,C13,AL_Birmingham_C13_C_26,0.5822130441665649,0.44259165904606007,AL,0.07530637891911818,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,2.19650353183512,Birmingham,"Birmingham, AL",27,C,C14,AL_Birmingham_C14_C_27,0.5949130654335022,0.47314562574475955,AL,0.08371901502068498,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,3.119015131331129,Birmingham,"Birmingham, AL",28,C,C15,AL_Birmingham_C15_C_28,0.656147837638855,0.5024877171808813,AL,0.0655358541987824,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,0.501174874889575,Birmingham,"Birmingham, AL",29,C,C16,AL_Birmingham_C16_C_29,0.5347391366958618,0.4676944112432178,AL,0.05641733238193764,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,0.999507880413443,Birmingham,"Birmingham, AL",30,C,C16,AL_Birmingham_C16_C_30,0.5479782819747925,0.48956069664684676,AL,0.0691354720270654,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,1.09782306438759,Birmingham,"Birmingham, AL",31,C,C17,AL_Birmingham_C17_C_31,0.5672130584716797,0.45224223157397886,AL,0.07975813141402979,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,0.66468445952189,Birmingham,"Birmingham, AL",32,C,C18,AL_Birmingham_C18_C_32,0.6011173725128174,0.49052439353982413,AL,0.09707940881565368,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,0.713796581076045,Birmingham,"Birmingham, AL",33,C,C19,AL_Birmingham_C19_C_33,0.6100956797599792,0.5483169076679912,AL,0.027330374684335784,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,2.180292228204464,Birmingham,"Birmingham, AL",34,C,C2,AL_Birmingham_C2_C_34,0.5582782626152039,0.455529511332333,AL,0.05494819364039522,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,2.711930274918914,Birmingham,"Birmingham, AL",35,C,C20,AL_Birmingham_C20_C_35,0.7126434445381165,0.5896416410661517,AL,0.05079409070328065,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,7.046486906154649,Birmingham,"Birmingham, AL",36,C,C3,AL_Birmingham_C3_C_36,0.7343913316726685,0.574170855178712,AL,0.08420304154345282,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,0.342293212534346,Birmingham,"Birmingham, AL",37,C,C4,AL_Birmingham_C4_C_37,0.5904695391654968,0.5223003223458238,AL,0.035673210810864456,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,0.729533225378402,Birmingham,"Birmingham, AL",38,C,C5,AL_Birmingham_C5_C_38,0.5684956312179565,0.5004926784652451,AL,0.05235445380023397,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,1.052056349629942,Birmingham,"Birmingham, AL",39,C,C6,AL_Birmingham_C6_C_39,0.6462087035179138,0.5534963931030433,AL,0.09374636875036063,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,1.774933787689924,Birmingham,"Birmingham, AL",40,C,C7,AL_Birmingham_C7_C_40,0.6362695693969727,0.5160843601906359,AL,0.07440226495153084,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,0.807507518181533,Birmingham,"Birmingham, AL",41,C,C8,AL_Birmingham_C8_C_41,0.6452869772911072,0.5302392613806137,AL,0.06064331738279207,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,1.053138127088334,Birmingham,"Birmingham, AL",42,C,C9,AL_Birmingham_C9_C_42,0.4965217411518097,0.3589810579036547,AL,0.08784789298685061,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,9.268528550850421,Birmingham,"Birmingham, AL",43,D,D1,AL_Birmingham_D1_D_43,0.6416347622871399,0.4259834505739332,AL,0.11117606005779193,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,1.745855674096026,Birmingham,"Birmingham, AL",44,D,D10,AL_Birmingham_D10_D_44,0.7453869581222534,0.5173001772019074,AL,0.1255450203231301,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,0.472403581816651,Birmingham,"Birmingham, AL",45,D,D11,AL_Birmingham_D11_D_45,0.670052170753479,0.5265605769033008,AL,0.11005870920742475,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,0.835905337923391,Birmingham,"Birmingham, AL",46,D,D12,AL_Birmingham_D12_D_46,0.7207043170928955,0.6423593892578892,AL,0.04477121247983321,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,2.841109001919027,Birmingham,"Birmingham, AL",47,D,D13,AL_Birmingham_D13_D_47,0.7326043248176575,0.6692421003561415,AL,0.03574482588929963,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,4.29989202789488,Birmingham,"Birmingham, AL",48,D,D14,AL_Birmingham_D14_D_48,0.7194651961326599,0.6041075428540734,AL,0.09733082421936967,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,2.014325770223379,Birmingham,"Birmingham, AL",49,D,D15,AL_Birmingham_D15_D_49,0.7716087102890015,0.6438169305176188,AL,0.12488319989467589,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,0.185442281004131,Birmingham,"Birmingham, AL",50,D,D16,AL_Birmingham_D16_D_50,0.7034174203872681,0.6779576368043742,AL,0.027551178750871482,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,0.138118006975956,Birmingham,"Birmingham, AL",51,D,D16,AL_Birmingham_D16_D_51,0.6268565058708191,0.5143485087457867,AL,0.07757758964234468,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,0.815830431976095,Birmingham,"Birmingham, AL",52,D,D16,AL_Birmingham_D16_D_52,0.6957869529724121,0.6072761968839668,AL,0.0717044746255699,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,0.230515249463938,Birmingham,"Birmingham, AL",53,D,D16,AL_Birmingham_D16_D_53,0.7323695421218872,0.6723210546524013,AL,0.060109620085779567,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,6.483762884395443,Birmingham,"Birmingham, AL",54,D,D17,AL_Birmingham_D17_D_54,0.7844130396842957,0.6215215285175987,AL,0.10821102173686069,POLYGON,"{""type"":""MultiPoint"",""coordinates"":[]}"
