system:index,ar_hl_2,city,cty_stt,globl_d,hlc_grd,holc_id,id,max,mean,state,stdDev,.geo
00000000000000000000,4.751164763734486,Birmingham,"Birmingham, AL",1,A,A1,AL_Birmingham_A1_A_1,0.7295348048210144,0.6660379506177727,AL,0.06643238864476579,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,2.667106123536017,Birmingham,"Birmingham, AL",2,A,A2,AL_Birmingham_A2_A_2,0.7181434631347656,0.6211075033688628,AL,0.04848170035532464,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,1.241928184503596,Birmingham,"Birmingham, AL",3,A,A3,AL_Birmingham_A3_A_3,0.7015695571899414,0.6170715446571052,AL,0.044903748427822104,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4.536722099206552,Birmingham,"Birmingham, AL",4,B,B1,AL_Birmingham_B1_B_4,0.6678695678710938,0.5435171761162475,AL,0.06809753106140908,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0.158420038703103,Birmingham,"Birmingham, AL",5,B,B10,AL_Birmingham_B10_B_5,0.5900173783302307,0.5457241417515664,AL,0.06647887382318589,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.449979249984045,Birmingham,"Birmingham, AL",6,B,B11,AL_Birmingham_B11_B_6,0.5579782724380493,0.5186448229941406,AL,0.02775116620596109,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0.767451668349769,Birmingham,"Birmingham, AL",7,B,B12,AL_Birmingham_B12_B_7,0.6141869425773621,0.5200260646679422,AL,0.04869119162402452,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.432087494625673,Birmingham,"Birmingham, AL",8,B,B13,AL_Birmingham_B13_B_8,0.6457695364952087,0.6167729098130676,AL,0.032691138204162265,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,1.646220693703297,Birmingham,"Birmingham, AL",9,B,B14,AL_Birmingham_B14_B_9,0.7208782434463501,0.6367519961598794,AL,0.07857269962240251,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.144474144187093,Birmingham,"Birmingham, AL",10,B,B15,AL_Birmingham_B15_B_10,0.5833261013031006,0.5443995481003445,AL,0.05327463286877357,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,0.136699781790137,Birmingham,"Birmingham, AL",11,B,B16,AL_Birmingham_B16_B_11,0.6072826385498047,0.523853492070541,AL,0.06480338143374384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,1.925629519871755,Birmingham,"Birmingham, AL",12,B,B2,AL_Birmingham_B2_B_12,0.7181434631347656,0.6010270301172381,AL,0.10403840301996194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,0.490105783412065,Birmingham,"Birmingham, AL",13,B,B3,AL_Birmingham_B3_B_13,0.6708391308784485,0.5974676842361765,AL,0.03862265885514853,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,0.50045085127238,Birmingham,"Birmingham, AL",14,B,B4,AL_Birmingham_B4_B_14,0.6569565534591675,0.6163993596496722,AL,0.028932191426153595,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,1.363377814473916,Birmingham,"Birmingham, AL",15,B,B5,AL_Birmingham_B5_B_15,0.6801130175590515,0.5096455253403762,AL,0.1057250747855978,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,1.095644755057238,Birmingham,"Birmingham, AL",16,B,B6,AL_Birmingham_B6_B_16,0.6628217697143555,0.5465399277325824,AL,0.044760803977298015,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,0.224122881235577,Birmingham,"Birmingham, AL",17,B,B7,AL_Birmingham_B7_B_17,0.5597087144851685,0.5158126294558648,AL,0.04165887103830788,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,0.415337320405576,Birmingham,"Birmingham, AL",18,B,B8,AL_Birmingham_B8_B_18,0.5445826053619385,0.5241764115921883,AL,0.012589055843303956,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,0.179010022861801,Birmingham,"Birmingham, AL",19,B,B9,AL_Birmingham_B9_B_19,0.6414695382118225,0.6123641650874282,AL,0.039430530288403515,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,0.165261859684944,Birmingham,"Birmingham, AL",20,C,C1,AL_Birmingham_C1_C_20,0.47653913497924805,0.44525228144211887,AL,0.053357683755656,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,0.112705763170607,Birmingham,"Birmingham, AL",21,C,C1,AL_Birmingham_C1_C_21,0.6153174042701721,0.5487284196989383,AL,0.045657422457122995,"{""type"":""MultiPoint"",""coordinates"":[]}"
