system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
00000000000000000000,15544.47112046762,42660,0.9969000220298767,0.5945784585908994,"Seattle-Tacoma-Bellevue, WA Metro Area",0.1937839095814347,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,11191.769307798355,44060,0.823199987411499,0.4621110574787374,"Spokane-Spokane Valley, WA Metro Area",0.117490978622568,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,20961.83068070944,41620,0.6812217235565186,0.15173996416211427,"Salt Lake City, UT Metro Area",0.1038183130240014,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4108.336777755664,15380,0.7505000233650208,0.5089163145205325,"Buffalo-Cheektowaga, NY Metro Area",0.08700570913127356,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,15568.987217263364,23420,0.8296912908554077,0.3488889963596999,"Fresno, CA Metro Area",0.1543850774910204,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1461.8294865110374,33780,0.7089999914169312,0.45597439442351784,"Monroe, MI Metro Area",0.08403717959952679,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,1579.7615399643053,12100,0.8255521655082703,0.5744989255627686,"Atlantic City-Hammonton, NJ Metro Area",0.1750691699765667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,592.7167621287658,45940,0.7756652235984802,0.5886009660666255,"Trenton-Princeton, NJ Metro Area",0.09496086143957604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13839.521640881598,38300,0.7481478452682495,0.5916241792599481,"Pittsburgh, PA Metro Area",0.06477580480708821,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,5224.9244846847205,17460,0.7033217549324036,0.5242617056260774,"Cleveland-Elyria, OH Metro Area",0.08943279868983274,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,4339.726864412332,41140,0.6505739092826843,0.47552700120596625,"St. Joseph, MO-KS Metro Area",0.05651773219372449,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,14456.313561183124,36420,0.7256869673728943,0.46221017917406826,"Oklahoma City, OK Metro Area",0.08301115813531046,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,20932.458678718034,41180,0.7476652264595032,0.5345179792834823,"St. Louis, MO-IL Metro Area",0.10400460332851569,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,11622.100584779966,40060,0.868149995803833,0.6720825133266696,"Richmond, VA Metro Area",0.10309316449450633,"{""type"":""MultiPoint"",""coordinates"":[]}"
