system:index,ar_ms_2,m_GEOID,max,mean,msa_nam,stdDev,.geo
00000000000000000000,15544.47112046762,42660,0.9936000108718872,0.620402595503576,"Seattle-Tacoma-Bellevue, WA Metro Area",0.185088481682411,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,11191.769307798355,44060,0.8394217491149902,0.4890468623764171,"Spokane-Spokane Valley, WA Metro Area",0.1282171234203013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,20961.83068070944,41620,0.6914608478546143,0.14185336235522353,"Salt Lake City, UT Metro Area",0.10958261984483582,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,4108.336777755664,15380,0.6846565008163452,0.4968817393017718,"Buffalo-Cheektowaga, NY Metro Area",0.08414086496984574,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,15568.987217263364,23420,0.8288999795913696,0.3651875137867679,"Fresno, CA Metro Area",0.1521429297205749,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,1461.8294865110374,33780,0.6904869675636292,0.44778713310856605,"Monroe, MI Metro Area",0.08145027530019719,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,1579.7615399643053,12100,0.824647843837738,0.5850629748244378,"Atlantic City-Hammonton, NJ Metro Area",0.18192112141729577,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,592.7167621287658,45940,0.7789739370346069,0.5995192510589776,"Trenton-Princeton, NJ Metro Area",0.09023097787132515,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,13839.521640881598,38300,0.753939151763916,0.5894722180498235,"Pittsburgh, PA Metro Area",0.06405294732223905,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,5224.9244846847205,17460,0.7096869349479675,0.5363146583796334,"Cleveland-Elyria, OH Metro Area",0.08876885240741587,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,4339.726864412332,41140,0.6775217652320862,0.4907648248710982,"St. Joseph, MO-KS Metro Area",0.06487830337817134,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,14456.313561183124,36420,0.7443304061889648,0.49720902567764635,"Oklahoma City, OK Metro Area",0.07615416864394975,"{""type"":""MultiPoint"",""coordinates"":[]}"
