system:index,GEOID,NAME,max,mean,stdDev,u_ppltE,u_ppltM,u_r_km2,.geo
0000000000000000000c,27118,"Elmira, NY Urbanized Area (2010)",0.6761000156402588,0.5258413813378876,0.07103549190213895,65522.0,768.0,99.21062299296742,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,51445,"Los Angeles--Long Beach--Anaheim, CA Urbanized Area (2010)",0.747634768486023,0.28829415066551994,0.11027113633400518,1.2555756E7,4096.0,4556.515150130017,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,50392,"Little Rock, AR Urbanized Area (2010)",0.7796043157577515,0.5520563553291401,0.11326011067323505,448051.0,2177.0,678.7046304759148,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,78904,"San Francisco--Oakland, CA Urbanized Area (2010)",0.8386086821556091,0.394346220858133,0.17869420158771476,3534282.0,2305.0,1374.8418397065025,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,11350,"Buffalo, NY Urbanized Area (2010)",0.6966391205787659,0.4925099732482607,0.09963494496351716,931687.0,1601.0,998.6073896027817,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,64945,"Ogden--Layton, UT Urbanized Area (2010)",0.6790782809257507,0.35715138713063366,0.09004856028110762,603931.0,1282.0,565.2032861167916,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,72505,"Providence, RI--MA Urbanized Area (2010)",0.9337500333786011,0.5777940677242378,0.11177849530520331,1200262.0,2053.0,1496.2700830674614,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,18964,"Columbia, SC Urbanized Area (2010)",0.8238826394081116,0.5801541711847424,0.10606798013345739,595696.0,2569.0,999.5490094205387,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,90892,"Virginia Beach, VA Urbanized Area (2010)",0.8346521854400635,0.5297036849141183,0.14433942864719823,1470179.0,1989.0,1434.4954577419824,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,16264,"Chicago, IL--IN Urbanized Area (2010)",0.6765217185020447,0.4295332878892447,0.10873848228868815,8645134.0,3852.0,6429.722982864667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,97750,"York, PA Urbanized Area (2010)",0.7387086749076843,0.5652298364519636,0.09107672989671237,238783.0,1415.0,343.54252480087223,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,32491,"Galveston, TX Urban Cluster (2010)",0.6366285681724548,0.2850905877410409,0.15035926839241515,47024.0,418.0,33.05509692315635,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,19099,"Columbus, GA--AL Urbanized Area (2010)",0.7908217310905457,0.5948801166303382,0.0990058704133344,256550.0,1800.0,384.5753878739841,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,69076,"Philadelphia, PA--NJ--DE--MD Urbanized Area (2010)",0.8374000191688538,0.5696015911590705,0.1144663934023483,5538049.0,3857.0,5232.555954948727,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,83953,"Springfield, MO Urbanized Area (2010)",0.7329217195510864,0.5247099911701771,0.10053632842570953,288541.0,1737.0,370.4178392222442,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,83980,"Springfield, OH Urbanized Area (2010)",0.7468565106391907,0.5447756031282341,0.0839686095646249,83373.0,549.0,127.1182988317805,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,05707,"Battle Creek, MI Urbanized Area (2010)",0.6680260896682739,0.5214945549912925,0.08906343085823591,77325.0,741.0,140.83656134809158,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,28333,"Evansville, IN--KY Urbanized Area (2010)",0.7294217348098755,0.5406385210565622,0.11879670113385697,228931.0,1290.0,310.8652589551585,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,53200,"Madison, WI Urbanized Area (2010)",0.6381608843803406,0.42452155030010974,0.10221264160609268,438445.0,1354.0,409.10533514818087,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,97831,"Youngstown, OH--PA Urbanized Area (2010)",0.751821756362915,0.5718351588081332,0.08826552193448525,370793.0,1354.0,629.2142291453342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,25228,"Durham, NC Urbanized Area (2010)",0.8323956727981567,0.6299577029957354,0.09923865699276507,387939.0,1802.0,474.0905529115705,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,15481,"Charleston, WV Urbanized Area (2010)",0.7197217345237732,0.5812515860837799,0.11508201708345309,144834.0,1867.0,272.9068828817175,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,69697,"Pittsburgh, PA Urbanized Area (2010)",0.7547043561935425,0.5715627602629936,0.09842693469484215,1720923.0,2967.0,2386.3642870921653,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,41212,"Indianapolis, IN Urbanized Area (2010)",0.7317956686019897,0.510105843500588,0.09923678469754349,1608920.0,3095.0,1858.8875580595343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,77743,"St. Joseph, MO--KS Urbanized Area (2010)",0.6602435111999512,0.4890173130256526,0.10953327101084058,80005.0,467.0,108.35263723269944,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,87868,"Toledo, OH--MI Urbanized Area (2010)",0.723652184009552,0.47713326984758175,0.12161563822232636,497579.0,1356.0,638.7631108823307,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,23824,"Detroit, MI Urbanized Area (2010)",0.7211260795593262,0.46955925725381625,0.10266963777369797,3741499.0,1804.0,3554.5488846828043,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,56602,"Miami, FL Urbanized Area (2010)",0.8755785822868347,0.4433387862520244,0.12088954971854471,6009495.0,2713.0,3399.825999119189,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,65080,"Oklahoma City, OK Urbanized Area (2010)",0.6616782546043396,0.39335923992906385,0.10599686676714025,933690.0,2715.0,1083.6519579929743,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,49582,"Lexington-Fayette, KY Urbanized Area (2010)",0.7487608790397644,0.5358187960474073,0.10513085604052375,314474.0,711.0,228.79343989937095,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,71533,"Portsmouth, OH--KY Urban Cluster (2010)",0.7276173830032349,0.5541971585950105,0.15014643829170135,36712.0,999.0,55.134602525759306,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,22042,"Dallas--Fort Worth--Arlington, TX Urbanized Area (2010)",0.775847852230072,0.400319950234517,0.11498735013077623,5787226.0,4922.0,4701.913201683531,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,92593,"Waterloo, IA Urbanized Area (2010)",0.6066651940345764,0.4089513756516947,0.07545638307164626,113791.0,648.0,166.16471579223412,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,77149,"Saginaw, MI Urbanized Area (2010)",0.6442782878875732,0.4576743921016218,0.08412411821252859,119736.0,680.0,187.3001478663811,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,47719,"Lansing, MI Urbanized Area (2010)",0.6825087070465088,0.496723595030463,0.087945563350612,324025.0,904.0,418.5450533095189,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,75664,"Rochester, NY Urbanized Area (2010)",0.6967478394508362,0.5048451587783719,0.08772889619359969,720059.0,1745.0,857.1389262405268,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,85087,"Stockton, CA Urbanized Area (2010)",0.7400608658790588,0.353515399309327,0.11688151551749663,391436.0,2082.0,243.88986557756226,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,27253,"El Paso, TX--NM Urbanized Area (2010)",0.5490999817848206,0.17194546567535401,0.057149297288147195,806526.0,3490.0,652.3571830430191,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,01927,"Amarillo, TX Urbanized Area (2010)",0.7091956734657288,0.31283892405748603,0.07586336329975932,203458.0,649.0,211.81281705514868,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,51364,"Lorain--Elyria, OH Urbanized Area (2010)",0.714434802532196,0.5192317261502143,0.10405542957347363,178876.0,681.0,262.69889476149893,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,40753,"Huntington, WV--KY--OH Urbanized Area (2010)",0.7383000254631042,0.5570618224617935,0.1325951509713294,199300.0,1938.0,361.93526272670476,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,42211,"Jackson, MS Urbanized Area (2010)",0.8326521515846252,0.6020086633109352,0.11811423641307796,352458.0,2084.0,645.0828225951619,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,56116,"Memphis, TN--MS--AR Urbanized Area (2010)",0.7882000207901001,0.5285219698382804,0.11834624755975764,1076417.0,2214.0,1297.0752246544446,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,05869,"Bay City, MI Urbanized Area (2010)",0.6294782757759094,0.4536090534638136,0.0925369144144605,68164.0,618.0,108.36161228908824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,52822,"Macon, GA Urbanized Area (2010)",0.7976695895195007,0.6190276768234416,0.10613775549867756,133070.0,1556.0,256.0086936743685,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,74746,"Richmond, VA Urbanized Area (2010)",0.8172000050544739,0.6090885108862597,0.11050748757495875,1016561.0,2216.0,1297.7697859464502,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,65269,"Omaha, NE--IA Urbanized Area (2010)",0.6654478311538696,0.4105916235352741,0.09150016609316962,780812.0,1109.0,715.3749415346779,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,31843,"Fresno, CA Urbanized Area (2010)",0.6662565469741821,0.3217237843872452,0.09025708189050016,699023.0,2091.0,444.2463756327548,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,43912,"Kansas City, MO--KS Urbanized Area (2010)",0.7212043404579163,0.5013155462400668,0.11312074329764746,1595941.0,2347.0,1773.9600619354333,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,42157,"Jackson, MI Urbanized Area (2010)",0.6875391006469727,0.5347413781946219,0.08075362009192753,87910.0,1110.0,153.44447224655542,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,15670,"Charlotte, NC--SC Urbanized Area (2010)",0.7921304106712341,0.577068696744607,0.1257022414721623,1463951.0,2988.0,2011.4408689035367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,83926,"Springfield, MA--CT Urbanized Area (2010)",0.7805695533752441,0.5706246867883535,0.09933423623173644,624531.0,1879.0,929.0830987953636,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,82225,"Sioux City, IA--NE--SD Urbanized Area (2010)",0.650091290473938,0.3694367530581675,0.08237921625633869,107237.0,620.0,143.464529879804,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,37081,"Harrisburg, PA Urbanized Area (2010)",0.7422565221786499,0.5515528953175767,0.11029421310952252,464348.0,1688.0,694.3852900035474,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,00766,"Akron, OH Urbanized Area (2010)",0.7359869480133057,0.5704386230385652,0.07957536395415507,567148.0,1497.0,859.9827806829227,"{""type"":""MultiPoint"",""coordinates"":[]}"
